rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,12443.3,1189.5
2,Exxon Mobil,6272.4,709.3
3,Ford Motor,5594.0,437.0
4,U.S. Steel,4097.7,370.1
5,Chrysler,3466.2,100.1
6,General Electric,3095.4,200.9
7,Esmark,2404.1,22.9
8,Bethlehem Steel,2096.6,180.2
9,Armour,1967.7,10.1
10,DuPont,1909.2,431.6
11,Gulf Oil,1895.7,218.1
12,AT&T Technologies,1853.3,63.3
13,Mobil,1839.3,207.4
14,Amoco,1781.3,157.1
15,Texaco,1767.3,262.7
16,Shell Oil,1484.1,125.5
17,CBS,1441.0,42.8
18,Goodyear Tire & Rubber,1372.2,59.7
19,ChevronTexaco,1277.8,231.1
20,Kraft,1260.2,40.3
21,Republic Steel,1188.6,86.3
22,Union Carbide,1187.2,140.8
23,Navistar International,1165.8,55.5
24,Firestone Tire & Rubber,1114.9,55.4
25,Sinclair Oil,1110.1,80.7
26,RCA,1055.3,47.5
27,Procter & Gamble,965.8,57.5
28,Uniroyal,925.5,33.6
29,Citgo Petroleum,923.2,49.3
30,ConocoPhillips,910.8,95.2
31,Douglas Aircraft,867.5,28.2
32,Boeing,853.8,30.4
33,Alcoa,845.0,87.6
34,General Foods,824.8,31.7
35,Rockwell Automation,816.7,32.3
36,Borden Chemical,810.1,21.7
37,International Paper,796.4,83.1
38,Goodrich,755.0,46.7
39,American Can,714.8,36.0
40,Eastman Kodak,714.4,85.6
41,United Technologies,697.9,31.1
42,Jones & Laughlin Steel,696.5,50.1
43,ARMCO,692.7,64.4
44,Sperry,688.0,44.0
45,General Dynamics,687.3,21.3
46,Lockheed Martin,673.6,17.3
47,Continental Group,666.3,24.2
48,Sunoco,660.3,48.3
49,AMAX,660.2,19.8
50,Ryerson Tull,659.7,52.5
51,Wilson,650.5,4.6
52,Anaconda,636.2,65.3
53,Honeywell Intl.,628.5,52.1
54,National Intergroup,622.0,48.3
55,Youngstown Sheet & Tube,617.4,41.7
56,Fortune Brands,585.9,51.7
57,PPG Industries,582.0,61.4
58,Bendix,567.2,25.9
59,Intl. Business Machines,563.5,55.9
60,Olin,560.5,44.6
61,BorgWarner,552.2,41.1
62,Kennecott,548.3,125.5
63,Republic Aviation,547.4,14.7
64,Asarco,540.5,33.5
65,Allis-Chalmers,535.1,24.8
66,NL Industries,533.7,47.9
67,Conoco,528.9,46.4
68,Caterpillar,523.9,34.8
69,Monsanto,522.3,42.2
70,Burlington Industries Equity,515.2,16.4
71,General Mills,513.7,12.4
72,Atlantic Richfield,513.0,39.5
73,Curtiss-Wright,508.7,35.1
74,Pure Oil,485.1,35.2
75,Studebaker,480.0,-29.7
76,Tidewater Oil,478.8,37.8
77,Dow Chemical,470.7,37.4
78,Nabisco Group Holdings,466.3,53.3
79,American Cyanamid,451.1,38.7
80,ITT Industries,448.4,23.1
81,American Motors,441.1,-7.0
82,Sealed Air,427.1,18.8
83,Crown Zellerbach,414.1,44.1
84,Standard Brands,400.7,10.6
85,Nabisco Brands,389.6,18.3
86,Foremost Dairies,388.1,8.7
87,Ralston Purina,385.5,12.6
88,Reynolds Metals,384.9,34.3
89,Campbell Soup,377.6,29.1
90,Philco,373.4,8.4
91,Owens-Illinois,370.3,27.0
92,Merritt-Chapman & Scott,360.3,10.7
93,Unocal,359.5,30.5
94,Singer,354.1,18.1
95,Phelps Dodge,353.4,72.3
96,United Merchants & Mfrs.,341.8,15.5
97,Pillsbury,341.1,5.3
98,BP America,339.7,23.0
99,American Standard,339.6,22.6
100,Deere,339.6,28.3
101,Hormel Foods,336.6,3.8
102,Morrell (John),336.1,2.7
103,Hygrade Food Products,334.3,2.3
104,Crane,331.4,9.0
105,Pullman,330.4,9.6
106,Carnation,329.2,8.1
107,Amstar,325.9,8.3
108,J.P. Stevens,321.1,8.5
109,Weyerhaeuser,316.7,49.2
110,Otis Elevator,316.6,13.8
111,Cudahy,308.1,2.7
112,Sylvania Electric Products,307.4,13.8
113,NCR,301.2,15.4
114,Avco,299.3,0.8
115,Sunray DX Oil,298.4,39.5
116,Liggett Group,296.1,26.7
117,Electric Autolite,296.0,10.1
118,GenCorp,295.7,9.7
119,Bestfoods,290.2,20.7
120,Beatrice,287.4,5.6
121,TRW,286.2,11.3
122,Colgate-Palmolive,285.6,14.0
123,Manville,284.7,23.5
124,Northrop Grumman,283.4,11.7
125,3M,281.9,34.7
126,Aeroquip-Vickers,281.5,36.0
127,Whirlpool,280.4,14.1
128,Quaker Oats,276.4,10.1
129,Rockwell-Standard,271.9,17.3
130,Martin Marietta,271.9,13.3
131,Kaisertech,268.1,28.6
132,FMC,264.6,14.9
133,Furniture Brands Intl.,262.4,10.4
134,"Libby, McNeill & Libby",261.9,5.4
135,National Supply,259.8,11.4
136,American Viscose,259.4,24.7
137,USG,258.7,40.4
138,CF&I Steel,257.5,10.9
139,Marathon Oil,257.2,41.3
140,St. Regis,257.1,19.0
141,Allegheny International,255.2,15.0
142,Rath Packing,254.0,2.6
143,Coca-Cola,252.9,27.5
144,Armstrong Holdings,249.4,14.5
145,Wheeling Pittsburgh,246.7,17.3
146,Scott Paper,246.7,21.3
147,Ashland,245.9,10.1
148,Honeywell,244.5,19.3
149,Richfield Oil,244.4,29.6
150,Continental Baking,244.0,7.7
151,Revere Copper & Brass,242.7,11.3
152,Crucible Steel,237.7,13.2
153,A.O. Smith,237.1,6.0
154,Wyeth,234.5,20.5
155,H.J. Heinz,234.2,8.8
156,Del Monte Foods,233.8,8.9
157,Babcock & Wilcox,233.3,13.5
158,Skelly Oil,231.6,32.2
159,J.E. Seagram,228.9,22.3
160,Koppers,228.5,10.4
161,M. Lowenstein,228.2,10.8
162,Motorola,226.7,8.5
163,Hercules,226.7,19.0
164,Kimberly-Clark,224.0,20.3
165,Fruehauf,223.5,8.7
166,Johnson & Johnson,222.9,11.3
167,Archer Daniels Midland,221.0,5.8
168,Oscar Mayer,220.2,4.9
169,Eaton,218.1,13.3
170,Unisys,217.8,12.2
171,Glidden,217.0,8.4
172,Container Corp. of America,215.6,15.7
173,Grumman,213.4,9.8
174,Arden Farms,212.3,2.1
175,Hearst Consolidated Publications,207.6,2.6
176,Brink's,205.8,3.1
177,Bell Intercontinental,204.4,5.9
178,Admiral,202.4,2.4
179,Anheuser-Busch,201.7,8.0
180,Quantum Chemical,201.6,15.5
181,Pet,200.2,9.2
182,Timken,196.1,22.1
183,Mack Trucks,194.3,7.8
184,Cannon Mills,193.7,10.0
185,ACF Industries,190.8,6.9
186,Carrier,190.0,8.5
187,Textron,189.2,5.5
188,Dana,186.6,15.3
189,Raytheon,182.3,4.5
190,Kellogg,182.1,13.8
191,White Motor,179.9,6.1
192,Curtis Publishing,179.8,4.1
193,Celanese,177.5,11.2
194,Gillette,176.9,29.0
195,Pittsburgh Steel,176.7,7.5
196,Westvaco,176.2,15.7
197,Westinghouse Air Brake,172.5,12.4
198,Sharon Steel,171.2,8.0
199,Consolidation Coal,168.6,14.0
200,Genesco,167.9,5.3
201,Walter Industries,167.4,2.4
202,Sterling Drug,166.9,15.7
203,Wesson Oil & Snowdrift,166.7,4.7
204,American-Marietta,165.3,11.1
205,Dresser Industries,164.8,10.4
206,Kaiser Industries,164.0,5.1
207,Pfizer,163.8,15.3
208,Cone Mills,163.6,4.8
209,Grinnell,163.2,8.3
210,Rohm & Haas,161.6,17.7
211,Owens Corning,161.3,10.9
212,Rheem Manufacturing,160.6,5.2
213,Norton,160.5,N.A.
214,Baldwin-Lima-Hamilton,160.3,1.8
215,Gair (Robert),160.2,9.3
216,Brown Shoe,159.5,6.5
217,Merck,157.9,15.7
218,Schenley Industries,157.8,6.1
219,Corning,157.7,18.6
220,Altria Group,157.0,11.5
221,Simmons,156.3,6.6
222,McDonnell Douglas,154.6,4.6
223,Fairchild Engine & Airplane,154.4,4.3
224,Dart Industries,153.5,4.1
225,Zenith Electronics,152.9,8.0
226,Hershey Foods,151.6,10.6
227,Staley Continental,151.5,5.2
228,Eastern Gas & Fuel Associates,151.1,5.2
229,Champion International,150.6,7.5
230,Mead,150.5,10.6
231,BOC,149.2,11.6
232,Bridgeport Brass,148.6,5.5
233,National Gypsum,148.2,15.8
234,Abex,147.1,6.4
235,Chance Vought,147.1,4.8
236,Scovill,146.9,5.5
237,Continental Motors,145.5,2.5
238,Ingersoll-Rand,145.4,27.5
239,Anaconda Wire & Cable,145.2,7.0
240,AMF,145.0,4.8
241,McLouth Steel,145.0,8.1
242,National Sugar Refining,144.9,1.9
243,Central Soya,144.8,2.6
244,Stauffer Chemical,143.6,12.3
245,Endicott Johnson,143.1,2.8
246,ITT Rayonier,142.5,15.9
247,McGraw-Edison,142.5,9.5
248,Budd,141.5,12.2
249,Eli Lilly,141.3,16.3
250,Studebaker-Worthington,140.9,7.2
251,Kelsey-Hayes,140.8,7.4
252,Campbell Taggart,140.6,7.9
253,American Bakeries,139.0,5.4
254,Stokely-Van Camp,136.5,3.8
255,Kaiser Steel,136.1,5.7
256,Combustion Engineering,135.8,5.6
257,Certainteed,135.4,8.1
258,Champion Papers,135.2,10.2
259,Marathon,135.1,9.2
260,Pabst Brewing,134.3,2.4
261,Cletrac,133.6,4.8
262,General Precision Equipment,133.3,2.5
263,Clark Equipment,131.3,9.5
264,Lorillard,129.8,6.6
265,Link-Belt,129.5,7.6
266,Tecumseh Products,129.5,6.3
267,GK Technologies,129.4,6.5
268,Diamond International,128.8,9.1
269,General Host,128.7,2.1
270,WestPoint Stevens,128.6,5.1
271,Keebler,127.1,3.6
272,"Parke, Davis",123.1,14.3
273,Union Camp,123.0,14.3
274,Newport News Shipbuilding,122.5,4.8
275,Bemis,121.8,2.1
276,St. Joseph Lead,121.5,12.7
277,GAF,121.2,4.2
278,Alco Products,120.7,4.3
279,Sunshine Biscuits,119.2,6.1
280,Granite City Steel,116.3,12.6
281,Eagle-Picher Industries,114.5,5.0
282,Cleveland-Cliffs,114.5,13.4
283,Stewart-Warner,113.8,6.2
284,Anchor Hocking,113.8,6.1
285,Crown Holdings,113.0,1.8
286,"Fairbanks, Morse",111.9,2.7
287,U.S. Pipe & Foundry,111.3,11.3
288,Maxus Energy,110.3,8.4
289,Interlake,109.9,6.2
290,Blaw-Knox,109.2,2.4
291,Warren Petroleum,109.0,10.1
292,Collins Radio,108.4,3.5
293,Minute Maid,106.5,3.1
294,H.K. Porter,106.1,6.4
295,Long-Bell Lumber Co.,105.7,9.7
296,Chemetron,105.5,5.6
297,Yale & Towne Manufacturing,104.9,4.7
298,Cincinnati Milacron,104.7,4.4
299,Best Foods,104.1,4.9
300,Garrett,103.4,3.7
301,Colorado Milling & Elevator,102.8,1.1
302,Detroit Steel,101.8,6.3
303,Amerada Hess,101.8,25.4
304,Keystone Consolidated Industries,101.4,9.5
305,American Chain & Cable,101.1,6.1
306,Flintkote,101.0,4.9
307,Inmont,100.5,4.7
308,Interstate Brands,99.7,3.4
309,Interlake Iron,98.8,8.5
310,Plymouth Oil,98.1,6.9
311,Allied Mills,97.8,2.8
312,Kendall,97.6,3.8
313,Ward Foods,97.0,1.5
314,Imcera Group,96.5,6.3
315,Automatic Canteen,95.8,1.9
316,National Container,95.3,8.4
317,Case,94.8,0.9
318,Pocahontas Fuel,94.8,4.8
319,Fairmont Foods,94.5,1.0
320,Hooker Chemical,94.2,10.6
321,Texasgulf,93.6,32.4
322,Maytag,93.1,6.3
323,Stanley Works,92.5,5.6
324,Ex-Cell-O,92.5,9.5
325,Wagner Electric,92.3,4.7
326,Georgia-Pacific,92.0,6.2
327,Dan River,91.7,3.8
328,Abbott Laboratories,91.7,9.7
329,US Pharmaceuticals,91.7,16.0
330,Lone Star Industries,91.5,14.8
331,Squibb,91.1,3.7
332,ESB,90.8,2.6
333,Spencer Kellogg & Sons,90.3,0.3
334,Sunbeam/Oster,90.1,6.9
335,Foster Wheeler,90.1,1.3
336,Warner-Lambert,90.0,8.1
337,Carborundum,89.8,5.2
338,Fibreboard,89.8,6.5
339,PepsiCo,89.0,9.5
340,Emerson Radio & Phonograph,87.4,2.5
341,Cluett Peabody,87.4,3.8
342,Thomas J. Lipton,87.2,3.5
343,Gerber Products,86.7,5.5
344,Riegel Textile,86.3,1.6
345,Paccar,86.2,3.6
346,Wm. Wrigley Jr.,86.1,11.6
347,Outboard Marine,85.9,6.4
348,Hines (Edward) Lumber,85.6,5.2
