rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,96371.7,3999.0
2,Exxon Mobil,86673.0,4870.0
3,Mobil,55960.0,1040.0
4,Ford Motor,52774.4,2515.4
5,Intl. Business Machines,50056.0,6555.0
6,Texaco,46297.0,1233.0
7,ChevronTexaco,41741.9,1547.4
8,AT&T,34909.5,1556.8
9,DuPont,29483.0,1118.0
10,General Electric,28285.0,2336.0
11,Amoco,27215.0,1953.0
12,Atlantic Richfield,22357.0,-202.0
13,Chrysler,21255.5,1635.2
14,Shell Oil,20309.0,1650.0
15,Marathon Oil,18429.0,409.0
16,United Technologies,15748.7,312.7
17,ConocoPhillips,15676.0,418.0
18,Tenneco Automotive,15400.0,172.0
19,Occidental Petroleum,14534.4,696.0
20,Sunoco,13769.0,527.0
21,Boeing,13636.0,566.0
22,Procter & Gamble,13552.0,635.0
23,Nabisco Group Holdings,13533.0,1001.0
24,BP America,13002.0,308.0
25,ITT Industries,12714.3,293.5
26,Beatrice,12595.0,479.0
27,Altria Group,12149.0,1255.0
28,Dow Chemical,11537.0,58.0
29,McDonnell Douglas,11477.7,345.7
30,Rockwell Automation,11337.6,595.3
31,Unocal,10738.0,325.0
32,CBS,10700.2,605.3
33,Eastman Kodak,10631.0,332.0
34,Kraft,9942.3,466.1
35,Goodyear Tire & Rubber,9896.7,412.4
36,Lockheed Martin,9535.0,401.0
37,Honeywell Intl.,9115.0,-279.0
38,General Foods,9022.4,324.9
39,Union Carbide,9003.0,-581.0
40,Xerox,8947.6,475.3
41,PepsiCo,8478.9,543.7
42,General Dynamics,8410.6,383.3
43,LTV,8198.8,-723.9
44,Coca-Cola,8138.9,722.3
45,Sara Lee,8117.2,206.3
46,Ashland,7891.2,146.7
47,3M,7846.0,664.0
48,Amerada Hess,7653.4,-260.4
49,Sealed Air,7260.1,146.9
50,Coastal,7254.3,142.4
51,Anheuser-Busch,7000.3,443.7
52,Caterpillar,6769.0,198.0
53,Monsanto,6747.0,-98.0
