rank,company,revenue ($ millions),profit ($ millions)
1,Walmart,514405.0,6670.0
2,Exxon Mobil,290212.0,20840.0
3,Apple,265595.0,59531.0
4,Berkshire Hathaway,247837.0,4021.0
5,Amazon.com,232887.0,10073.0
6,UnitedHealth Group,226247.0,11986.0
7,McKesson,208357.0,67.0
8,CVS Health,194579.0,-594.0
9,AT&T,170756.0,19370.0
10,AmerisourceBergen,167939.6,1658.4
11,Chevron,166339.0,14824.0
12,Ford Motor,160338.0,3677.0
13,General Motors,147049.0,8014.0
14,Costco Wholesale,141576.0,3134.0
15,Alphabet,136819.0,30736.0
16,Cardinal Health,136809.0,256.0
17,Walgreens Boots Alliance,131537.0,5024.0
18,JPMorgan Chase,131412.0,32474.0
19,Verizon Communications,130863.0,15528.0
20,Kroger,121162.0,3110.0
21,General Electric,120268.0,-22355.0
22,Fannie Mae,120101.0,15959.0
23,Phillips 66,114217.0,5595.0
24,Valero Energy,111407.0,3122.0
25,Bank of America,110584.0,28147.0
26,Microsoft,110360.0,16571.0
27,Home Depot,108203.0,11121.0
28,Boeing,101127.0,10460.0
29,Wells Fargo,101060.0,22393.0
30,Citigroup,97120.0,18045.0
31,Marathon Petroleum,97102.0,2780.0
32,Comcast,94507.0,11731.0
33,Anthem,92105.0,3750.0
34,Dell Technologies,90621.0,-2310.0
35,DuPont de Nemours,85977.0,3844.0
36,State Farm Insurance,81732.2,8788.4
37,Johnson & Johnson,81581.0,15297.0
38,IBM,79591.0,8728.0
39,Target,75356.0,2937.0
40,Freddie Mac,73598.0,9235.0
41,United Parcel Service,71861.0,4791.0
42,Lowe's,71309.0,2314.0
43,Intel,70848.0,21053.0
44,MetLife,67941.0,5123.0
45,Procter & Gamble,66832.0,9750.0
46,United Technologies,66501.0,5269.0
47,FedEx,65450.0,4572.0
48,PepsiCo,64661.0,12515.0
49,Archer Daniels Midland,64341.0,1810.0
50,Prudential Financial,62992.0,4074.0
51,Centene,60116.0,900.0
52,Albertsons,59924.6,46.3
53,Walt Disney,59434.0,12598.0
54,Sysco,58727.3,1430.8
55,HP,58472.0,5327.0
