rank,company,revenue ($ millions),profit ($ millions)
1,Exxon Mobil,44864.8,2503.0
2,General Motors,35724.9,1253.1
3,Texaco,24507.5,830.6
4,Ford Motor,24009.1,322.7
5,Mobil,20620.4,809.9
6,ChevronTexaco,16822.1,772.5
7,Intl. Business Machines,14436.5,1989.9
8,Gulf Oil,14268.0,700.0
9,General Electric,13399.1,580.8
10,Chrysler,11699.3,-259.5
11,ITT Industries,11367.6,398.2
12,Amoco,9955.2,787.0
13,U.S. Steel,8167.3,559.6
14,Shell Oil,8143.4,514.8
15,Atlantic Richfield,7307.9,350.4
16,Conoco,7253.8,330.9
17,DuPont,7221.5,271.8
18,AT&T Technologies,6590.1,107.3
19,Procter & Gamble,6081.7,333.9
20,CBS,5862.7,165.2
21,Union Carbide,5665.0,381.7
22,Tenneco Automotive,5599.7,342.9
23,Goodyear Tire & Rubber,5452.5,161.6
24,Navistar International,5335.4,79.4
25,Occidental Petroleum,5333.9,172.0
26,ConocoPhillips,5133.6,342.6
27,Unocal,5086.4,232.8
28,Bethlehem Steel,4977.2,242.0
29,Caterpillar,4963.7,398.7
30,Eastman Kodak,4958.5,613.7
31,Rockwell Automation,4943.4,101.6
32,Dow Chemical,4888.1,615.7
33,Kraft,4857.4,139.6
34,RCA,4789.5,110.0
35,Esmark,4730.7,79.7
36,Sunoco,4389.1,220.1
37,LTV,4312.5,13.1
38,Beatrice,4191.8,134.8
39,Xerox,4094.0,244.3
40,United Technologies,3877.8,117.5
41,Greyhound,3733.3,81.2
42,Firestone Tire & Rubber,3724.2,134.3
43,Boeing,3718.9,76.3
44,General Foods,3675.1,99.4
45,Ashland,3637.1,119.4
46,Monsanto,3624.7,306.3
47,Sealed Air,3529.2,166.7
48,Nabisco Group Holdings,3528.9,338.7
49,Litton Industries,3430.2,35.3
50,Lockheed Martin,3387.2,45.3
51,Borden Chemical,3367.2,92.9
52,McDonnell Douglas,3255.7,85.7
53,Citgo Petroleum,3200.7,137.7
54,Amerada Hess,3179.6,128.4
55,Ralston Purina,3149.1,99.5
56,3M,3127.3,261.6
57,Continental Group,3101.9,107.2
58,International Paper,3080.8,218.0
59,ARMCO,3046.7,116.7
60,Sperry,3040.9,131.4
61,Getty Oil,2983.6,256.7
62,Deere,2955.2,179.1
63,Marathon Oil,2878.2,128.1
64,Coca-Cola,2872.8,239.3
65,American Can,2870.2,77.3
66,Colgate-Palmolive,2860.5,119.0
67,Honeywell,2760.1,77.8
68,Bestfoods,2741.5,109.2
69,Gulf & Western Industries,2602.1,140.1
70,Bendix,2589.7,79.8
71,TRW,2585.7,103.9
72,Fortune Brands,2569.7,148.5
73,Singer,2568.0,-451.9
74,Altria Group,2564.0,211.6
75,Sara Lee,2535.8,12.7
76,BP America,2484.2,126.6
77,Textron,2459.1,96.0
78,Weyerhaeuser,2421.3,191.9
79,Champion International,2399.3,61.0
80,Georgia-Pacific,2358.6,148.0
81,Republic Steel,2333.3,72.2
82,Honeywell Intl.,2333.1,116.2
83,PepsiCo,2321.2,104.6
84,General Mills,2308.9,76.2
85,Alcoa,2305.9,64.8
86,FMC,2291.9,108.2
87,American Motors,2282.2,-27.5
88,Owens-Illinois,2273.2,87.3
89,Wyeth,2258.6,250.7
90,Raytheon,2245.4,71.0
91,National Intergroup,2241.2,58.0
92,Johnson & Johnson,2224.7,183.8
93,Uniroyal,2187.6,23.0
94,Chiquita Brands Intl.,2186.5,10.8
95,Warner-Lambert,2172.3,163.9
96,NCR,2165.6,72.5
97,Signal Companies,2162.9,41.1
98,General Dynamics,2160.0,84.5
99,Ryerson Tull,2107.4,83.3
100,Carnation,2075.3,88.5
101,Dresser Industries,2011.6,123.9
102,Pullman,2007.0,39.4
103,Nabisco Brands,1970.8,59.0
104,Burlington Industries Equity,1958.1,39.8
105,CBS,1938.9,122.9
106,American Cyanamid,1928.4,147.7
107,Goodrich,1901.2,25.6
108,Celanese,1900.0,50.0
109,PPG Industries,1886.6,89.0
110,Bristol-Myers Squibb,1827.7,141.7
111,Archer Daniels Midland,1822.9,35.0
112,Norton Simon,1815.2,82.8
113,Iowa Beef Processors,1805.3,23.2
114,Standard Brands,1799.9,66.9
115,Kerr-McGee,1798.6,131.1
116,Central Soya,1789.3,21.0
117,Crown Zellerbach,1758.1,74.5
118,GenCorp,1752.0,62.4
119,Teledyne,1715.0,101.7
120,Combustion Engineering,1711.2,44.6
121,Ingersoll-Rand,1708.3,119.2
122,Amstar,1687.0,39.0
123,Reynolds Metals,1679.3,60.0
124,Unisys,1675.6,164.4
125,Pfizer,1665.5,147.7
126,H.J. Heinz,1662.7,66.6
127,Anheuser-Busch,1645.0,84.7
128,BorgWarner,1639.0,44.5
129,American Standard,1622.3,44.8
130,Kaisertech,1578.1,94.7
131,Babcock & Wilcox,1565.0,42.3
132,Eaton,1558.3,47.0
133,Campbell Soup,1545.6,87.0
134,Lykes,1517.8,56.9
135,Farmland Industries,1507.8,N.A.
136,Whitman,1504.8,48.6
137,Brink's,1504.2,200.1
138,Ogden,1491.3,47.0
139,Merck,1489.7,228.8
140,Kimberly-Clark,1483.7,102.5
141,Associated Milk Producers,1477.9,N.A.
142,Whirlpool,1467.6,58.9
143,OfficeMax,1458.0,63.9
144,Allis-Chalmers,1443.3,29.4
145,Clark Equipment,1424.6,46.6
146,Hercules,1413.1,32.5
147,North American Philips,1409.8,31.4
148,Gillette,1406.9,80.0
149,Studebaker-Worthington,1396.2,29.9
150,St. Regis,1394.8,95.9
151,Quaker Oats,1389.0,31.0
152,Texas Instruments,1367.6,62.1
153,U.S. Industries,1341.6,10.5
154,Agway,1329.4,N.A.
155,Grumman,1328.6,23.5
156,Motorola,1311.8,41.1
157,Imcera Group,1302.9,166.0
158,Avon Products,1295.1,139.0
159,Safety-Kleen,1287.5,27.9
160,Dart Industries,1280.4,79.0
161,NL Industries,1279.3,45.6
162,Del Monte Foods,1279.3,47.2
163,Olin,1260.6,59.4
164,Emerson Electric,1250.3,96.2
165,Mead,1244.6,52.8
166,Walter Industries,1237.3,70.0
167,Eli Lilly,1233.7,181.3
168,White Consolidated Industries,1229.9,46.9
169,White Motor,1228.7,-69.4
170,Control Data,1218.2,41.5
171,Furniture Brands Intl.,1217.9,53.6
172,Kellogg,1213.6,103.0
173,Pillsbury,1197.4,30.9
174,Scott Paper,1191.9,64.8
175,Fruit of the Loom,1187.5,101.1
176,Kidde,1155.9,43.2
177,Dana,1136.5,62.2
178,Maxus Energy,1129.3,114.3
179,Heublein,1124.2,61.5
180,Land O'Lakes,1124.0,N.A.
181,J.P. Stevens,1123.0,19.9
182,Crane,1119.5,63.6
183,Squibb,1111.0,98.2
184,Manville,1107.0,38.4
185,Genesco,1096.0,-14.3
186,Fruehauf,1094.4,25.1
187,Williams,1090.1,123.8
188,Anaconda,1087.8,-39.8
189,Pennzoil,1078.3,106.8
190,Koppers,1075.5,60.3
191,American Broadcasting,1064.6,17.1
192,Oscar Mayer,1054.6,27.0
193,Martin Marietta,1053.4,55.4
194,Rohm & Haas,1046.0,23.0
195,Ethyl,1029.2,61.0
196,Coltec Industries,1022.8,52.1
197,Charter,1021.8,5.4
198,Foster Wheeler,1020.9,14.1
199,Kaiser Industries,1016.2,78.8
200,Levi Strauss,1015.2,64.7
201,Pet,1008.5,23.2
202,AMF,1004.7,32.1
203,Asarco,1004.6,25.4
204,Hormel Foods,995.6,13.4
205,Northrop Grumman,988.1,24.7
206,FINA,986.0,40.2
207,Hewlett-Packard,981.2,83.6
208,United Merchants & Mfrs.,978.1,-18.5
209,Container Corp. of America,964.7,74.6
210,GAF,964.4,30.9
211,AMAX,962.1,134.4
212,Sterling Drug,957.1,82.1
213,Stauffer Chemical,949.8,98.7
214,Quantum Chemical,942.6,62.4
215,Abbott Laboratories,940.7,70.7
216,Corning,939.0,31.1
217,Ikon Office Solutions,932.0,31.2
218,Murphy Oil,931.0,40.1
219,Carrier,929.9,13.5
220,Jos. Schlitz Brewing,923.0,30.9
221,Time Warner,910.7,45.1
222,Zenith Electronics,900.5,30.8
223,Pharmacia,890.8,66.7
224,Owens Corning,884.9,41.8
225,Anderson Clayton,878.9,31.5
226,McGraw-Edison,874.6,37.7
227,Sherwin-Williams,866.9,28.6
228,Armstrong Holdings,859.4,36.6
229,Sunbeam/Oster,852.7,23.1
230,Castle & Cooke,843.1,38.2
231,Union Camp,835.9,88.7
232,J.E. Seagram,835.4,29.1
233,Intl. Multifoods,828.2,14.1
234,Wheeling Pittsburgh,826.7,0.6
235,Crown Holdings,825.0,41.6
236,USG,820.4,30.5
237,Brunswick,818.0,18.1
238,Tesoro,815.8,42.9
239,Gold Kist Holdings,815.2,N.A.
240,Polaroid,812.7,62.6
241,MCA,811.5,95.5
242,Timken,804.5,61.3
243,Times Mirror,799.5,47.2
244,National Can,799.1,18.7
245,Westvaco,797.5,39.1
246,Budd,794.1,9.6
247,Schering-Plough,793.3,138.9
248,Allegheny International,792.0,30.1
249,Chromalloy American,791.4,21.7
250,Cummins,789.2,0.5
251,Commonwealth Oil Refining,783.8,-24.2
252,Phelps Dodge,780.8,46.4
253,Diamond International,779.1,49.2
254,Staley Continental,776.8,50.4
