rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,11233.1,873.1
2,Exxon Mobil,7910.7,629.8
3,Ford Motor,5356.9,451.4
4,General Electric,4349.5,280.2
5,U.S. Steel,3643.0,254.6
6,Mobil,3092.9,164.0
7,Gulf Oil,2713.0,290.5
8,Texaco,2678.0,354.3
9,Chrysler,2643.0,-5.4
10,Esmark,2475.5,19.1
11,AT&T Technologies,2314.9,102.2
12,DuPont,2114.3,418.7
13,Bethlehem Steel,2055.7,117.2
14,Amoco,1956.8,139.6
15,CBS,1910.7,85.9
16,Armour,1869.8,14.1
17,General Dynamics,1811.9,31.1
18,Shell Oil,1810.0,147.4
19,Boeing,1612.2,12.4
20,Kraft,1605.7,49.4
21,Goodyear Tire & Rubber,1579.3,76.0
22,ChevronTexaco,1564.8,253.6
23,Union Carbide,1531.3,171.6
24,RCA,1388.4,40.1
25,Procter & Gamble,1368.5,81.7
26,Navistar International,1363.2,76.4
27,Intl. Business Machines,1309.8,145.6
28,Lockheed Martin,1301.6,8.7
29,Sinclair Oil,1232.2,45.5
30,Firestone Tire & Rubber,1187.8,64.6
31,ConocoPhillips,1163.0,104.6
32,Continental Group,1146.5,40.0
33,American Can,1107.4,40.9
34,General Telephone & Electronics,1081.1,72.3
35,United Technologies,1081.0,28.6
36,Republic Steel,1076.8,53.9
37,General Foods,1053.0,54.1
38,Rockwell Automation,1044.9,30.7
39,International Paper,1030.2,83.6
40,ARMCO,1022.4,77.1
41,Citgo Petroleum,994.9,42.4
42,Sperry,989.6,27.6
43,Uniroyal,976.8,35.6
44,Borden Chemical,941.3,25.5
45,Eastman Kodak,914.1,124.7
46,Douglas Aircraft,883.9,-33.8
47,American Motors,869.9,60.3
48,Alcoa,858.5,55.6
49,Burlington Industries Equity,805.5,27.6
50,Goodrich,771.6,37.6
51,Jones & Laughlin Steel,765.7,29.5
52,ITT Industries,765.6,29.0
53,Caterpillar,742.3,46.5
54,National Intergroup,737.0,54.9
55,Sunoco,735.7,42.8
56,Nabisco Group Holdings,723.7,90.4
57,Honeywell Intl.,719.7,50.0
58,Dow Chemical,705.4,62.9
59,Ryerson Tull,705.1,48.4
60,Olin,702.0,37.4
61,Conoco,685.8,60.3
62,Bendix,683.8,27.4
63,Fortune Brands,681.2,63.2
64,GenCorp,676.9,26.6
65,Bestfoods,671.3,33.2
66,AMAX,668.5,30.8
67,Wilson,655.5,9.6
68,BorgWarner,649.9,39.3
69,Anaconda,632.7,59.2
70,Monsanto,615.4,49.0
71,Youngstown Sheet & Tube,608.1,31.0
72,PPG Industries,606.9,44.1
73,American Cyanamid,583.6,52.3
74,Colgate-Palmolive,582.0,25.3
75,Tidewater Oil,559.4,33.9
76,Owens-Illinois,552.7,40.8
77,General Mills,546.0,16.8
78,Deere,542.5,48.5
79,Atlantic Richfield,541.3,30.2
80,Allis-Chalmers,539.6,22.9
81,Ralston Purina,530.6,17.8
82,NL Industries,530.6,52.5
83,Crown Zellerbach,527.3,42.3
84,Martin Marietta,523.7,11.9
85,American Standard,517.4,21.4
86,3M,500.7,63.6
87,Pure Oil,499.6,28.9
88,Campbell Soup,496.5,34.5
89,Singer,496.1,21.3
90,Raytheon,494.3,13.5
91,Reynolds Metals,489.3,44.8
92,St. Regis,474.4,28.6
93,Sealed Air,469.7,14.8
94,J.P. Stevens,459.4,18.7
95,Weyerhaeuser,458.3,60.4
96,Sunray DX Oil,451.0,43.8
97,Foremost Dairies,440.1,10.5
98,Kennecott,437.2,57.3
99,Morrell (John),436.3,6.1
100,McDonnell Douglas,435.9,10.0
101,Kaisertech,435.6,22.3
102,Standard Brands,434.8,15.9
103,Whirlpool,430.5,20.5
104,Nabisco Brands,429.0,24.5
105,Merritt-Chapman & Scott,427.5,9.0
106,Unocal,423.8,27.5
107,Wyeth,420.8,46.7
108,NCR,419.1,19.1
109,TRW,417.7,9.7
110,United Merchants & Mfrs.,414.7,12.5
111,Hygrade Food Products,414.2,2.7
112,Lever Brothers,409.6,15.2
113,IPL,400.3,8.7
114,Pullman,399.9,13.5
115,Carnation,396.3,10.0
116,Asarco,390.4,28.8
117,Hormel Foods,387.7,5.8
118,BP America,387.4,25.1
119,Studebaker,387.4,28.5
120,Continental Baking,385.9,9.3
121,Beatrice,385.4,8.9
122,Philco,384.2,7.2
123,Honeywell,381.4,29.4
124,Manville,377.6,31.6
125,Kimberly-Clark,368.2,26.3
126,Pillsbury,359.7,7.9
127,Unisys,358.1,7.1
128,Cudahy,354.2,2.6
129,Del Monte Foods,346.3,11.8
130,Marathon Oil,344.8,38.6
131,FMC,342.9,20.6
132,Coca-Cola,342.3,33.6
133,White Motor,333.1,14.2
134,Babcock & Wilcox,332.1,15.9
135,Curtiss-Wright,329.2,14.3
136,Combustion Engineering,325.9,7.0
137,American-Marietta,323.6,24.0
138,Mead,323.6,13.5
139,Container Corp. of America,322.3,19.6
140,Quaker Oats,322.2,13.2
141,Otis Elevator,321.7,11.0
142,Liggett Group,317.6,30.0
143,H.J. Heinz,316.9,11.1
144,Crane,310.2,6.5
145,Amstar,310.1,10.1
146,Textron,308.2,16.6
147,Aeroquip-Vickers,306.7,53.7
148,Avco,306.0,9.6
149,USG,301.0,46.3
150,Ashland,300.6,14.3
151,Johnson & Johnson,297.7,15.4
152,Mack Trucks,297.4,15.8
153,Scott Paper,297.2,24.8
154,"Libby, McNeill & Libby",296.2,5.8
155,Anheuser-Busch,296.0,13.0
156,Altria Group,292.5,17.5
157,Armstrong Holdings,290.6,19.2
158,Motorola,289.5,14.2
159,Grumman,289.0,4.9
160,Eaton,287.3,17.3
161,Phelps Dodge,285.6,33.5
162,Central Soya,285.0,6.9
163,Rockwell-Standard,284.1,19.1
164,McGraw-Edison,283.9,15.0
165,AMF,283.7,19.0
166,A.O. Smith,283.6,11.5
167,Hercules,283.6,23.4
168,Furniture Brands Intl.,283.3,9.2
169,Consolidation Coal,282.0,20.5
170,CF&I Steel,280.3,4.4
171,Lorillard,279.7,28.3
172,Brown Shoe,276.5,11.6
173,Genesco,276.4,8.6
174,Sherwin-Williams,275.4,17.5
175,Brunswick,275.1,26.9
176,Rath Packing,273.9,1.8
177,Pet,271.4,9.0
178,Richfield Oil,269.9,28.1
179,Quantum Chemical,268.1,25.1
180,Celanese,265.2,22.6
181,Carrier,263.4,8.3
182,Northrop Grumman,262.9,7.3
183,Timken,262.1,29.9
184,Oscar Mayer,260.2,6.3
185,M. Lowenstein,259.7,4.8
186,Skelly Oil,257.7,28.0
187,J.E. Seagram,256.4,13.6
188,Chance Vought,254.7,4.9
189,Pfizer,253.7,24.9
190,Fruehauf,249.7,13.0
191,Revere Copper & Brass,245.8,10.1
192,Kellogg,242.4,19.3
193,Koppers,240.3,5.4
194,Zenith Electronics,239.8,16.6
195,American Viscose,239.8,15.2
196,Archer Daniels Midland,239.4,5.4
197,Champion International,238.7,13.4
198,Westvaco,233.1,23.6
199,Dresser Industries,232.3,9.2
200,Allegheny International,230.7,11.3
201,Diamond International,228.8,10.3
202,Stauffer Chemical,228.1,22.2
203,Budd,227.1,24.0
204,Dart Industries,227.0,8.8
205,National Gypsum,226.3,25.6
206,H.K. Porter,226.0,6.7
207,Flintkote,221.1,14.3
208,Dana,220.4,18.2
209,Crucible Steel,219.2,6.1
210,Merck,216.9,30.0
211,Rohm & Haas,215.9,23.2
212,General Precision Equipment,215.6,4.2
213,Kaiser Industries,214.5,15.7
214,Owens Corning,211.3,16.2
215,Westinghouse Air Brake,209.4,11.4
216,Gillette,209.3,31.2
217,Sterling Drug,209.2,21.0
218,Clark Equipment,208.2,12.4
219,Wheeling Pittsburgh,207.3,7.0
220,Cannon Mills,207.1,10.2
221,Corning,204.9,24.3
222,Kaiser Steel,201.9,-7.4
223,Electric Autolite,201.6,10.1
224,Kelsey-Hayes,201.6,7.1
225,BOC,200.6,14.9
226,Grinnell,200.5,8.6
227,GATX,199.7,17.0
228,Republic Aviation,198.1,3.4
229,Chemstrand,197.3,24.1
230,Glidden,195.8,7.6
231,Schenley Industries,195.0,18.1
232,Garrett,193.6,4.8
233,Case,193.4,6.2
234,Texas Instruments,193.2,14.1
235,Georgia-Pacific,192.0,14.1
236,"Parke, Davis",191.5,31.0
237,Rohr,191.3,2.6
238,Newport News Shipbuilding,191.1,7.8
239,Cone Mills,190.3,5.2
240,Walter Industries,190.3,3.6
241,Thiokol,190.2,5.5
242,Sunshine Biscuits,188.9,7.9
243,Hearst Consolidated Publications,187.8,-2.4
244,Admiral,187.3,4.1
245,Eli Lilly,187.0,23.4
246,Springs Industries,184.3,13.7
247,Tecumseh Products,183.5,9.2
248,Warner-Lambert,182.8,16.4
249,Curtis Publishing,182.5,4.0
250,Union Camp,180.8,19.0
251,Studebaker-Worthington,180.3,8.4
252,ACF Industries,178.7,1.7
253,National Sugar Refining,178.4,1.1
254,McLouth Steel,176.8,10.1
255,Norton,174.9,N.A.
256,Dan River,173.7,8.3
257,Campbell Taggart,173.4,9.1
258,Bridgeport Brass,173.1,7.1
259,Outboard Marine,171.6,13.8
260,GK Technologies,170.4,8.7
261,General Host,169.2,2.1
262,Champion Papers,168.8,7.7
263,Staley Continental,168.7,5.7
264,Signal Companies,168.1,16.3
265,Abex,168.0,7.7
266,Hershey Foods,167.3,15.3
267,Granite City Steel,164.4,16.1
268,Foster Wheeler,163.7,5.9
269,Ingersoll-Rand,161.5,24.6
270,Blaw-Knox,161.3,5.8
271,Wesson Oil & Snowdrift,160.5,3.3
272,American Bakeries,159.2,5.4
273,GAF,159.0,7.0
274,Cerro,158.4,8.0
275,Stokely-Van Camp,158.2,4.6
276,PepsiCo,157.8,13.9
277,Eastern Gas & Fuel Associates,157.5,5.0
278,Pharmacia,156.9,23.2
279,Scovill,152.7,4.0
280,Link-Belt,152.5,6.9
281,Southern States Cooperative,152.1,1.4
282,Pittsburgh Steel,149.9,-1.0
283,Hooker Chemical,149.8,13.4
284,Coltec Industries,149.0,3.2
285,Norton Simon,147.4,6.1
286,Cummins,147.0,8.2
287,Endicott Johnson,146.1,1.5
288,WestPoint Stevens,145.6,6.0
289,Yale & Towne Manufacturing,144.1,5.1
290,Farmland Industries,143.5,9.0
291,Avon Products,141.9,14.4
292,ESB,141.8,6.1
293,Anaconda Wire & Cable,141.1,3.0
294,Anchor Hocking,141.1,8.3
295,Rheem Manufacturing,140.3,2.8
296,Continental Motors,139.9,2.6
297,Philadelphia & Reading,139.1,8.7
298,Copperweld Steel,138.4,6.0
299,Maxus Energy,137.9,11.3
300,Keebler,137.6,1.9
301,Baldwin-Lima-Hamilton,137.2,5.0
302,US Pharmaceuticals,134.9,25.0
