rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,54961.3,3337.5
2,Exxon Mobil,54126.2,2423.0
3,Ford Motor,37841.5,1672.8
4,Mobil,32125.8,1004.7
5,Texaco,27920.5,930.8
6,ChevronTexaco,20917.3,1016.4
7,Intl. Business Machines,18133.2,2719.4
8,Gulf Oil,17840.0,752.0
9,General Electric,17518.6,1088.2
10,Chrysler,16708.3,163.2
11,ITT Industries,13145.7,550.7
12,Amoco,13019.9,1011.6
13,Atlantic Richfield,10969.1,701.5
14,Shell Oil,10112.1,735.1
15,U.S. Steel,9609.9,137.9
16,DuPont,9434.8,545.1
17,Conoco,8700.3,380.6
18,AT&T Technologies,8134.6,490.1
19,Tenneco Automotive,7440.3,426.9
20,Procter & Gamble,7284.3,461.5
21,Union Carbide,7036.1,385.1
22,Goodyear Tire & Rubber,6627.8,205.8
23,Sunoco,6418.1,361.9
24,ConocoPhillips,6284.2,516.9
25,Dow Chemical,6234.3,555.7
26,CBS,6137.7,250.8
27,Occidental Petroleum,6006.0,217.9
28,Navistar International,5975.1,203.7
29,Eastman Kodak,5967.0,643.4
30,RCA,5880.9,247.0
31,Rockwell Automation,5858.7,144.1
32,Caterpillar,5848.9,445.1
33,Unocal,5668.5,334.2
34,United Technologies,5550.7,196.0
35,Bethlehem Steel,5370.0,-448.2
36,Beatrice,5288.6,182.6
37,Esmark,5280.2,67.0
38,Kraft,5238.8,154.1
39,Xerox,5076.9,406.6
40,General Foods,4909.7,177.3
41,Nabisco Group Holdings,4816.0,423.5
42,Ashland,4785.6,164.3
43,LTV,4703.3,-38.7
44,Monsanto,4594.5,275.6
45,Amerada Hess,4591.3,178.9
46,Firestone Tire & Rubber,4426.9,110.2
47,Citgo Petroleum,4388.2,210.2
48,Marathon Oil,4252.0,197.0
49,Boeing,4018.8,180.3
50,3M,3980.3,412.9
51,Sealed Air,3976.2,140.5
52,Altria Group,3849.5,334.9
53,Greyhound,3841.5,82.5
54,Colgate-Palmolive,3837.2,160.5
55,Ralston Purina,3756.3,142.7
56,Georgia-Pacific,3675.0,262.0
57,International Paper,3668.9,233.7
58,Continental Group,3660.9,143.8
59,Gulf & Western Industries,3643.0,150.3
60,Deere,3604.0,255.6
61,Coca-Cola,3559.9,326.2
62,ARMCO,3549.2,119.8
63,PepsiCo,3545.7,187.3
64,McDonnell Douglas,3544.8,123.0
65,American Can,3538.6,114.0
66,BP America,3523.2,181.1
67,Borden Chemical,3481.3,126.9
68,Champion International,3442.3,138.6
69,Litton Industries,3440.5,55.9
70,Alcoa,3416.5,195.2
71,Lockheed Martin,3372.8,55.4
72,Getty Oil,3319.4,309.1
73,Bendix,3283.2,118.1
74,Weyerhaeuser,3282.8,303.9
75,Sperry,3270.0,156.8
76,TRW,3263.9,154.2
77,National Intergroup,3138.9,60.1
78,Farmland Industries,3016.4,N.A.
79,Signal Companies,2964.4,101.5
80,Honeywell Intl.,2922.8,135.3
81,Johnson & Johnson,2914.1,247.3
82,Honeywell,2911.1,145.1
83,General Mills,2909.4,117.0
84,Republic Steel,2909.4,41.0
85,General Dynamics,2901.2,103.4
86,Fortune Brands,2892.0,157.8
87,Sara Lee,2891.9,88.1
88,Bestfoods,2869.8,132.9
89,Raytheon,2818.3,113.2
90,Textron,2802.2,136.9
91,CBS,2776.3,182.0
92,Owens-Illinois,2767.3,91.3
93,Wyeth,2685.1,306.2
94,Ryerson Tull,2681.6,87.8
95,Uniroyal,2581.9,34.8
96,Warner-Lambert,2542.7,187.6
97,Dresser Industries,2538.8,185.1
98,NCR,2521.6,143.6
99,PPG Industries,2505.8,91.7
100,Chiquita Brands Intl.,2421.9,7.5
101,American Cyanamid,2412.3,139.4
102,Burlington Industries Equity,2388.2,89.9
103,FMC,2373.2,120.6
104,Reynolds Metals,2352.8,86.3
105,Carnation,2334.7,109.1
106,Celanese,2320.0,70.0
107,OfficeMax,2315.8,115.6
108,Crown Zellerbach,2307.2,109.2
109,Singer,2294.3,94.2
110,American Motors,2236.9,8.3
111,Goodrich,2222.5,60.1
112,Teledyne,2209.7,194.1
113,Bristol-Myers Squibb,2191.4,174.3
114,Kaisertech,2179.6,112.1
115,Central Soya,2177.4,12.4
116,Kerr-McGee,2164.8,119.2
117,Standard Brands,2124.3,68.6
118,Nabisco Brands,2117.6,78.0
119,Archer Daniels Midland,2114.2,61.4
120,Ingersoll-Rand,2112.8,117.7
121,Eaton,2110.9,106.3
122,GenCorp,2110.1,116.0
123,Unisys,2090.8,215.2
124,Texas Instruments,2046.5,116.6
125,Combustion Engineering,2044.8,67.2
126,Pfizer,2031.9,175.4
127,BorgWarner,2031.9,104.0
128,Iowa Beef Processors,2023.8,30.0
129,St. Regis,1996.3,106.8
130,Whirlpool,1936.6,109.8
131,North American Philips,1916.8,63.7
132,Babcock & Wilcox,1877.2,61.8
133,Fruit of the Loom,1876.5,129.4
134,Whitman,1873.3,78.5
135,H.J. Heinz,1868.8,83.8
136,Anheuser-Busch,1838.0,91.9
137,Motorola,1833.9,106.3
138,Mead,1821.8,98.0
139,Emerson Electric,1809.2,142.1
140,Fruehauf,1796.9,61.0
141,Dana,1793.9,107.8
142,American Standard,1792.2,100.8
143,Campbell Soup,1769.1,107.1
144,Lykes,1766.6,-189.7
145,Norton Simon,1757.0,101.8
146,Kimberly-Clark,1725.5,130.7
147,Merck,1724.4,290.8
148,Hercules,1697.8,57.9
149,Avon Products,1648.5,191.5
150,Associated Milk Producers,1640.7,N.A.
151,Gould,1619.6,93.6
152,American Broadcasting,1616.9,109.8
153,Northrop Grumman,1601.4,66.2
154,Dart Industries,1601.0,109.2
155,Agway,1592.4,N.A.
156,Ogden,1592.3,50.0
157,Gillette,1587.2,79.7
158,NL Industries,1587.0,66.4
159,Furniture Brands Intl.,1566.4,76.8
