rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,22755.4,1731.9
2,Exxon Mobil,14091.3,1276.7
3,Ford Motor,14075.1,626.6
4,General Electric,8381.6,357.1
5,Chrysler,7445.3,290.7
6,Intl. Business Machines,6888.5,871.5
7,Mobil,6221.0,428.2
8,Texaco,5459.8,835.5
9,Gulf Oil,4558.5,626.3
10,U.S. Steel,4536.7,253.7
11,ITT Industries,4066.5,192.4
12,AT&T Technologies,4031.9,192.1
13,ChevronTexaco,3634.8,451.8
14,McDonnell Douglas,3609.3,94.7
15,DuPont,3481.2,371.9
16,Shell Oil,3317.1,312.1
17,CBS,3296.1,135.0
18,Boeing,3274.0,83.0
19,Amoco,3213.7,309.5
20,RCA,3106.2,154.0
21,General Telephone & Electronics,2927.1,277.8
22,Goodyear Tire & Rubber,2925.7,148.3
23,Bethlehem Steel,2862.7,160.5
24,Esmark,2827.1,-41.6
25,LTV,2769.7,36.3
26,Union Carbide,2685.9,157.0
27,General Dynamics,2662.2,38.7
28,Eastman Kodak,2644.1,375.4
29,Rockwell Automation,2639.8,73.8
30,Procter & Gamble,2542.6,202.0
31,Navistar International,2540.0,75.4
32,Kraft,2428.1,76.2
33,United Technologies,2408.3,61.4
34,Conoco,2251.6,150.0
35,Lockheed Martin,2217.4,44.5
36,Firestone Tire & Rubber,2131.4,127.0
37,ConocoPhillips,2106.9,136.8
38,Armour,2096.4,12.0
39,Tenneco Automotive,2063.5,166.9
40,Litton Industries,1855.0,58.5
41,Monsanto,1792.9,108.8
42,Sunoco,1778.2,164.4
43,Singer,1754.6,69.4
44,General Foods,1739.7,103.5
45,Sealed Air,1738.4,33.1
46,Caterpillar,1707.1,121.6
47,Textron,1704.1,74.0
48,Occidental Petroleum,1699.0,134.1
49,Borden Chemical,1669.4,43.8
50,Dow Chemical,1652.5,136.0
51,American Can,1633.0,77.6
52,Burlington Industries Equity,1619.3,79.0
53,Sperry,1562.8,64.0
54,International Paper,1561.8,99.9
55,Unocal,1536.0,151.2
56,Continental Group,1507.9,83.5
57,TRW,1487.5,72.2
58,Sinclair Oil,1465.1,76.6
59,Citgo Petroleum,1439.7,121.3
60,Uniroyal,1429.2,56.9
61,Atlantic Richfield,1413.7,148.9
62,3M,1405.0,161.4
63,Republic Steel,1399.5,78.2
64,Bendix,1388.7,43.8
65,FMC,1376.2,75.2
66,ARMCO,1375.2,88.0
67,Alcoa,1352.8,104.7
68,Signal Companies,1318.0,88.7
69,Gulf & Western Industries,1313.9,69.8
70,Champion International,1283.4,54.7
71,Ralston Purina,1281.5,37.2
72,Honeywell,1281.3,50.5
73,Honeywell Intl.,1278.1,17.8
74,Nabisco Group Holdings,1264.7,150.0
75,Celanese,1255.8,-77.1
76,Sara Lee,1216.8,52.3
77,Coca-Cola,1185.8,110.3
78,Avco,1183.4,57.0
79,Raytheon,1158.0,29.6
80,Grumman,1152.6,19.0
81,Owens-Illinois,1152.2,55.1
82,Goodrich,1139.7,44.8
83,National Intergroup,1139.1,75.6
84,Bestfoods,1137.9,53.9
85,Fortune Brands,1117.4,92.9
86,NCR,1102.2,35.9
87,Colgate-Palmolive,1098.1,36.6
88,Getty Oil,1085.8,98.2
89,Wyeth,1085.6,111.9
