rank,company,revenue ($ millions),profit ($ millions)
1,Wal-Mart Stores,351139,11284
2,Exxon Mobil,347254,39500
3,General Motors,207349,-1978
4,Chevron,200567,17138
5,ConocoPhillips,172451,15550
6,General Electric,168307,20829
7,Ford Motor,160126,-12613
8,Citigroup,146777,21538
9,Bank of America Corp.,117017,21133
10,American Intl. Group,113194,14048
11,J.P. Morgan Chase & Co.,99973,14444
12,Berkshire Hathaway,98539,11015
13,Verizon Communications,93221,6197
14,Hewlett-Packard,91658,6198
15,Intl. Business Machines,91424,9492
16,Valero Energy,91051,5463
17,Home Depot,90837,5761
18,McKesson,88050,751
19,Cardinal Health,81895.1,1000.1
20,Morgan Stanley,76688,7472
21,UnitedHealth Group,71542,4159
22,Merrill Lynch,70591,7499
23,Altria Group,70324,12022
24,Goldman Sachs Group,69353,9537
25,Procter & Gamble,68222,8684
26,Kroger,66111.2,1114.9
27,AT&T,63055,7356
28,Boeing,61530,2215
29,AmerisourceBergen,61203.1,467.7
30,Marathon Oil,60643,5234
31,State Farm Insurance Cos,60528,5315.5
32,Costco Wholesale,60151.2,1103.2
33,Target,59490,2787
34,Dell,57095,2614
35,Wellpoint,56953,3094.9
36,Johnson & Johnson,53324,11053
37,MetLife,53275,6293
38,Sears Holdings,53012,1490
39,Pfizer,52415,19337
40,Dow Chemical,49124,3724
41,Wells Fargo,47979,8482
42,United Technologies,47829,3732
43,United Parcel Service,47547,4202
44,Walgreen,47409,1750.6
45,Lowe's,46927,3105
46,Wachovia Corp.,46810,7791
47,Lehman Brothers Holdings,46709,4007
48,Time Warner,44788,6552
49,Microsoft,44282,12599
50,Freddie Mac,44002,2211
51,CVS/Caremark,43813.8,1368.9
52,Motorola,43739,3661
53,Sprint Nextel,43531,1329
54,Medco Health Solutions,42543.7,630.2
55,Caterpillar,41517,3537
56,Safeway,40185,870.6
57,Lockheed Martin,39620,2529
58,Caremark Rx,36750.2,1074
59,Archer Daniels Midland,36596.1,1312.1
60,Sunoco,36081,979
61,Allstate,35796,4993
62,Intel,35382,5044
63,PepsiCo,35137,5642
64,Walt Disney,34285,3374
65,Sysco,32628.4,855.3
66,Prudential Financial,32488,3428
67,Johnson Controls,32413,1028
68,FedEx,32294,1806
69,Honeywell Intl.,31367,2083
70,Ingram Micro,31357.5,265.8
71,Alcoa,30896,2248
72,Best Buy,30848,1140
73,Northrop Grumman,30304,1542
74,DuPont,28982,3148
75,Hess,28720,1916
76,Federated Dept. Stores,28711,995
77,Cisco Systems,28484,5580
78,New York Life Insurance,28365.1,1035.4
79,American Express,27145,3707
80,TIAA-CREF,26756.8,2333.8
81,Washington Mutual,26561,3558
82,Hartford Financial Services,26500,2745
83,Delphi,26392,-5464
84,Comcast,25700,2533
85,Aetna,25568.6,1701.7
86,Tyson Foods,25559,-196
87,HCA,25477,1036
88,News Corp.,25327,2314
89,Travelers Cos.,25090,4208
90,Massachusetts Mutual Life Insurance,24863.4,1266
91,Countrywide Financial,24444.6,2674.8
92,General Dynamics,24212,1856
93,International Paper,24186,1050
94,Coca-Cola,24088,5080
95,Liberty Mutual Ins. Group,23520,1626
96,Raytheon,23274,1283
97,3M,22923,3851
98,Deere,22768.9,1693.8
99,Merck,22636,4433.8
100,Halliburton,22576,2348
101,AMR,22563,231
102,Abbott Laboratories,22476.3,1716.8
103,Plains All Amer. Pipeline,22444.4,285.1
104,Nationwide,22253,2113
105,Weyerhaeuser,22250,453
106,Lyondell Chemical,22228,186
107,Publix Super Markets,21819.7,1097.2
108,McDonald's,21586.4,3544.2
109,Tech Data,21446.1,-97
110,Humana,21416.5,487.4
111,Electronic Data Systems,21337,470
112,Northwestern Mutual,20726.2,829.4
113,Wyeth,20350.7,4196.7
114,Goodyear Tire & Rubber,20258,-330
115,Emerson Electric,20133,1845
116,J.C. Penney,19903,1153
117,Supervalu,19863.6,206.2
118,Coca-Cola Enterprises,19804,-1143
119,Constellation Energy,19446.1,936.4
120,UAL,19340,22876
121,Apple,19315,1989
122,AutoNation,19314.4,316.9
123,U.S. Bancorp,19109,4751
124,Occidental Petroleum,19029,4182
125,Sara Lee,18539,555
126,Staples,18160.8,973.7
127,Whirlpool,18080,433
128,Tesoro,18002,801
129,Bristol-Myers Squibb,17914,1585
130,Lear,17838.9,-707.5
131,Manpower,17786.5,398
132,Express Scripts,17660,474.4
133,TJX,17516.4,738
134,Rite Aid,17271,1273
135,Loews,17227.6,2491.3
136,Delta Air Lines,17171,-6203
137,Kimberly-Clark,16746.9,1499.5
138,Bear Stearns,16551.4,2053.9
139,Cigna,16547,1155
140,Dominion Resources,16524,1380
141,Paccar,16454.1,1496
142,Lennar,16266.7,593.9
143,Duke Energy,15967,1863
144,Gap,15943,778
145,Xerox,15895,1210
146,Anheuser-Busch,15717.1,1965.2
147,United States Steel,15715,1374
148,FPL Group,15710,1281
149,Eli Lilly,15691,2662.7
150,Exelon,15654,1592
151,Union Pacific,15578,1606
152,Kohl's,15544.2,1108.7
153,Centex,15465.1,1289.3
154,Capital One Financial,15191,2414.5
155,D.R. Horton,15051.3,1233.3
156,Office Depot,15010.8,516.1
157,Burlington No. Santa Fe,14985,1887
158,Nike,14954.9,1392
159,Progressive,14786.4,1647.5
160,DIRECTV Group,14755.5,1420.1
161,Nucor,14751.3,1757.7
162,Texas Instruments,14630,4341
163,Computer Sciences,14623.6,634
164,AFLAC,14616,1483
165,CBS,14479.1,1660.5
166,CHS,14383.8,490.3
167,Oracle,14380,3381
168,Southern,14356,1573
169,Murphy Oil,14307.4,638.3
170,Pulte Homes,14274.4,687.5
171,Amgen,14268,2950
172,Avnet,14253.6,204.5
173,ConAgra Foods,14171.9,533.8
174,Fluor,14078.5,263.5
175,Illinois Tool Works,14055,1717.7
176,Chubb,14003,2528
177,Enterprise GP Holdings,13991,99.5
178,Qwest Communications,13923,593
179,Arrow Electronics,13577.1,388.3
180,USAA,13416.4,2329.6
181,Waste Management,13363,1149
182,Eastman Kodak,13274,-601
183,SunTrust Banks,13260.4,2117.5
184,Huntsman,13148.2,229.8
185,TRW Automotive Holdings,13144,176
186,Continental Airlines,13128,343
187,Sun Microsystems,13068,-864
188,National City Corp.,12952.7,2299.8
189,Health Net,12908.4,329.3
190,Masco,12833,488
191,Pepsi Bottling,12730,522
192,American Electric Power,12622,1002
192,Edison International,12622,1181
194,Textron,12591,601
195,Northwest Airlines,12568,-2835
