rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,10989.8,843.6
2,Exxon Mobil,7830.2,805.2
3,Ford Motor,5771.3,282.8
4,U.S. Steel,4413.8,419.4
5,General Electric,4335.7,247.9
6,Chrysler,3565.0,120.0
7,Mobil,2976.1,220.4
8,Gulf Oil,2730.1,354.3
9,Bethlehem Steel,2603.7,191.0
10,Esmark,2542.2,13.5
11,AT&T Technologies,2480.1,84.6
12,Texaco,2344.2,332.3
13,Amoco,2010.1,151.5
14,CBS,2009.0,72.7
15,DuPont,1964.3,396.6
16,Armour,1935.7,3.4
17,Shell Oil,1764.6,135.1
18,ChevronTexaco,1650.8,288.2
19,Boeing,1596.5,38.2
20,General Dynamics,1562.5,44.3
21,Kraft,1432.3,44.1
22,Goodyear Tire & Rubber,1421.8,64.8
23,Union Carbide,1395.0,133.7
24,Sinclair Oil,1251.1,79.3
25,Rockwell Automation,1243.8,33.9
26,United Technologies,1232.9,51.4
27,Republic Steel,1227.3,85.0
28,Navistar International,1171.4,45.6
29,RCA,1170.9,38.5
30,Firestone Tire & Rubber,1158.9,61.7
31,Procter & Gamble,1156.4,67.8
32,ConocoPhillips,1131.8,96.2
33,Douglas Aircraft,1091.4,30.7
34,Citgo Petroleum,1046.4,59.2
35,Continental Group,1046.3,41.0
36,American Can,1006.3,45.4
37,Intl. Business Machines,1000.4,89.3
38,General Foods,971.3,42.4
39,International Paper,940.4,78.4
40,Borden Chemical,931.2,24.0
41,Uniroyal,873.6,29.7
42,Sperry,871.0,49.6
43,Alcoa,869.4,75.6
44,Lockheed Martin,868.3,16.3
45,Jones & Laughlin Steel,837.6,45.5
46,Eastman Kodak,798.3,98.1
47,ARMCO,776.7,55.0
48,Sunoco,771.6,47.5
49,Ryerson Tull,764.0,58.9
50,Goodrich,734.7,39.4
51,Bendix,707.0,27.5
52,Honeywell Intl.,683.1,51.2
53,Youngstown Sheet & Tube,679.9,42.5
54,Burlington Industries Equity,671.2,16.0
55,Caterpillar,649.9,38.8
56,Wilson,641.0,5.7
57,National Intergroup,641.0,45.5
58,ITT Industries,638.7,22.4
59,Dow Chemical,627.8,53.1
60,Fortune Brands,621.3,57.1
61,PPG Industries,620.8,58.0
62,Conoco,608.9,46.7
63,BorgWarner,608.5,34.1
64,Curtiss-Wright,598.6,40.1
65,Tidewater Oil,596.3,34.9
66,Olin,592.9,36.4
67,Nabisco Group Holdings,582.6,64.2
68,AMAX,577.2,27.9
69,Anaconda,570.8,44.0
70,Monsanto,567.1,37.4
71,Atlantic Richfield,565.9,35.7
72,NL Industries,535.3,56.2
73,Allis-Chalmers,534.1,17.8
74,American Cyanamid,532.5,51.3
75,General Mills,527.7,12.2
76,Standard Brands,513.9,13.8
77,Ogden,512.2,4.3
78,Owens-Illinois,510.5,35.8
79,Pure Oil,508.8,35.5
80,Colgate-Palmolive,506.9,19.9
81,Asarco,498.6,25.0
