rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,11395.9,892.8
2,Exxon Mobil,8437.7,758.1
3,Ford Motor,6709.4,409.6
4,General Electric,4456.8,242.1
5,Mobil,3321.2,211.3
6,U.S. Steel,3301.7,190.2
7,Texaco,3042.3,430.1
8,Gulf Oil,2744.8,338.5
9,AT&T Technologies,2607.3,122.2
10,Esmark,2489.0,12.1
11,DuPont,2222.7,418.2
12,Chrysler,2127.3,11.1
13,General Dynamics,2062.4,-143.2
14,ChevronTexaco,2046.5,294.4
15,Bethlehem Steel,2033.9,122.4
16,Amoco,2032.6,153.8
17,CBS,1913.8,45.4
18,Shell Oil,1881.3,140.4
19,Boeing,1800.9,35.7
20,Kraft,1790.8,50.2
21,Armour,1749.0,13.1
22,Intl. Business Machines,1694.3,207.2
23,Navistar International,1612.1,48.4
24,Union Carbide,1563.4,142.3
25,Procter & Gamble,1541.9,106.6
26,RCA,1537.9,35.5
27,Goodyear Tire & Rubber,1473.4,76.2
28,Lockheed Martin,1444.5,26.1
29,Rockwell Automation,1262.3,27.8
30,General Telephone & Electronics,1226.6,73.8
31,ConocoPhillips,1220.6,113.8
32,Martin Marietta,1213.2,44.8
33,Sinclair Oil,1207.3,35.9
34,Firestone Tire & Rubber,1182.7,63.6
35,Sperry,1177.0,27.8
36,General Foods,1160.2,66.8
37,Continental Group,1153.3,36.1
38,United Technologies,1094.8,10.0
39,American Can,1093.3,45.0
40,International Paper,1044.8,72.0
41,Borden Chemical,1009.7,30.1
42,Eastman Kodak,989.2,130.2
43,Citgo Petroleum,985.4,46.5
44,Republic Steel,965.9,57.0
45,Uniroyal,940.4,27.1
46,Monsanto,932.9,68.7
47,ITT Industries,930.5,43.7
48,ARMCO,888.0,57.5
49,American Motors,875.7,23.6
50,Burlington Industries Equity,866.0,23.3
51,Nabisco Group Holdings,859.2,117.2
52,Alcoa,853.3,43.0
53,Dow Chemical,817.5,64.4
54,Conoco,809.8,64.5
55,GenCorp,809.0,27.3
56,Douglas Aircraft,791.3,6.0
57,Fortune Brands,781.9,68.7
58,Sunoco,775.6,49.8
59,Bendix,758.0,24.0
60,Goodrich,757.8,31.0
61,Honeywell Intl.,746.6,47.2
62,Bestfoods,745.8,42.6
63,Jones & Laughlin Steel,736.7,32.1
64,Caterpillar,734.3,55.8
65,Ryerson Tull,724.6,54.7
66,Olin,700.7,32.1
67,Wilson,697.7,7.8
68,National Intergroup,648.4,32.9
69,Anaconda,624.3,42.1
70,Tidewater Oil,621.4,27.8
71,3M,608.2,74.9
72,Colgate-Palmolive,604.9,22.3
73,American Cyanamid,604.0,49.4
74,PPG Industries,602.7,34.6
75,Owens-Illinois,596.4,34.4
76,BorgWarner,584.7,23.4
77,Singer,582.3,23.7
78,Ralston Purina,581.0,19.9
79,AMAX,575.8,34.5
80,General Mills,575.5,12.8
81,Campbell Soup,572.4,43.9
82,St. Regis,565.0,19.3
