rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,24295.1,1710.7
2,Exxon Mobil,14929.8,1047.6
3,Ford Motor,14755.6,546.5
4,General Electric,8448.0,278.0
5,Intl. Business Machines,7197.3,933.9
6,Chrysler,7052.2,88.8
7,Mobil,6621.4,434.5
8,Texaco,5867.9,769.8
9,ITT Industries,5474.7,234.0
10,Gulf Oil,4953.3,610.6
11,AT&T Technologies,4883.2,227.0
12,U.S. Steel,4754.1,217.2
13,ChevronTexaco,3825.0,453.8
14,LTV,3750.3,-38.3
15,DuPont,3655.3,356.2
16,Shell Oil,3537.1,291.2
17,CBS,3509.2,149.9
18,Amoco,3469.1,321.0
19,General Telephone & Electronics,3262.0,237.4
20,Goodyear Tire & Rubber,3215.3,158.2
21,RCA,3187.9,151.3
22,Esmark,3107.6,21.9
23,McDonnell Douglas,3023.8,117.6
24,Union Carbide,2933.0,186.2
25,Bethlehem Steel,2927.7,156.5
26,Boeing,2834.6,10.2
27,Eastman Kodak,2747.2,401.1
28,Procter & Gamble,2707.6,187.4
29,Atlantic Richfield,2691.2,227.2
30,Rockwell Automation,2667.3,64.9
31,Navistar International,2652.8,63.8
32,Kraft,2580.9,75.6
33,General Dynamics,2508.8,2.5
34,Tenneco Automotive,2450.6,165.5
35,Conoco,2395.6,157.1
36,United Technologies,2350.4,50.9
37,Firestone Tire & Rubber,2278.9,116.7
38,ConocoPhillips,2202.0,134.3
39,Litton Industries,2176.6,82.3
40,Armour,2153.4,18.1
41,Lockheed Martin,2074.6,-32.6
42,Caterpillar,2001.6,142.5
43,Monsanto,1938.8,116.1
44,Occidental Petroleum,1937.6,174.8
45,Singer,1902.1,77.7
46,General Foods,1893.8,132.9
47,Sunoco,1837.8,152.3
48,Rapid-American,1827.1,20.7
49,Dow Chemical,1797.1,148.7
50,Sealed Air,1791.7,51.0
51,Continental Group,1780.0,90.4
52,International Paper,1777.3,115.6
53,Burlington Industries Equity,1764.7,78.1
54,Borden Chemical,1740.2,29.6
55,OfficeMax,1725.8,84.0
56,American Can,1723.7,64.6
57,Textron,1682.2,76.1
58,Unocal,1660.1,153.2
59,3M,1612.6,179.4
60,Sperry,1607.3,77.0
61,TRW,1588.4,78.2
62,Nabisco Group Holdings,1575.1,172.3
63,ARMCO,1565.5,95.7
64,Gulf & Western Industries,1563.6,72.0
65,Citgo Petroleum,1561.6,133.4
66,Uniroyal,1553.8,46.6
67,Alcoa,1545.2,122.4
68,Sara Lee,1512.1,49.7
69,Republic Steel,1500.3,79.1
70,Chiquita Brands Intl.,1495.7,26.0
71,Xerox,1482.9,161.4
72,Bendix,1467.9,56.2
73,Champion International,1455.5,64.4
74,Signal Companies,1432.4,52.3
75,Honeywell,1426.0,62.5
76,Anaconda,1410.6,99.3
77,FMC,1409.3,67.3
78,Ralston Purina,1386.3,46.9
79,Coca-Cola,1365.4,121.0
80,Fortune Brands,1361.3,98.5
81,Honeywell Intl.,1316.1,68.0
82,American Standard,1307.4,38.6
83,Beatrice,1302.9,43.7
84,Teledyne,1294.8,60.1
85,Owens-Illinois,1294.4,69.7
86,Raytheon,1285.1,35.2
87,NCR,1254.6,44.1
88,Celanese,1249.9,79.5
89,Weyerhaeuser,1239.2,131.4
90,Goodrich,1229.1,37.8
91,National Intergroup,1225.1,78.0
92,Bestfoods,1218.0,55.3
93,Ryerson Tull,1216.4,60.9
94,Wyeth,1193.0,123.3
95,Genesco,1185.6,30.3
96,Grumman,1180.3,22.1
97,BP America,1160.4,51.9
98,Georgia-Pacific,1160.2,91.8
99,Olin,1156.9,50.3
100,Whirlpool,1153.5,45.9
101,Ashland,1151.5,52.3
102,PPG Industries,1146.7,54.0
103,Colgate-Palmolive,1141.6,37.8
104,Getty Oil,1139.8,119.3
105,U.S. Industries,1092.5,60.2
106,GenCorp,1087.8,35.1
107,American Cyanamid,1087.1,89.9
108,BorgWarner,1087.0,52.0
109,Ogden,1079.1,9.0
110,Eaton,1054.3,60.9
111,Kennecott,1050.0,165.4
112,Deere,1043.0,54.1
113,Mead,1031.7,35.9
114,Reynolds Metals,1012.7,55.1
115,J.P. Stevens,1003.0,26.6
116,Martin Marietta,981.4,44.2
