rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,9823.5,806.0
2,Exxon Mobil,5661.4,584.8
3,U.S. Steel,3250.4,195.4
4,General Electric,2959.1,212.6
5,Esmark,2510.8,19.1
6,Chrysler,2071.6,18.5
7,Armour,2056.1,1.6
8,Gulf Oil,1705.3,182.8
9,Mobil,1703.6,183.8
10,DuPont,1687.7,344.4
11,Amoco,1667.4,132.8
12,Bethlehem Steel,1660.3,117.2
13,CBS,1631.0,84.6
14,Texaco,1574.4,226.1
15,AT&T Technologies,1526.2,55.8
16,Shell Oil,1312.1,121.1
17,Kraft,1210.3,37.4
18,ChevronTexaco,1113.3,211.9
19,Goodyear Tire & Rubber,1090.1,48.1
20,Boeing,1033.2,37.0
21,Sinclair Oil,1021.5,91.6
22,Navistar International,994.1,36.3
23,RCA,941.0,40.5
24,Union Carbide,923.7,89.8
25,Firestone Tire & Rubber,916.0,40.5
26,Douglas Aircraft,915.2,36.2
27,Procter & Gamble,911.0,52.3
28,Republic Steel,846.3,52.9
29,Citgo Petroleum,813.2,43.7
30,ConocoPhillips,794.6,76.2
31,General Foods,783.0,27.9
32,Uniroyal,782.6,28.0
33,Borden Chemical,776.8,22.7
34,Lockheed Martin,732.9,22.4
35,Alcoa,708.3,46.5
36,International Paper,681.2,73.5
37,Wilson,680.5,3.1
38,Sunoco,659.5,40.3
39,United Technologies,654.2,26.0
40,American Can,652.4,30.4
41,General Dynamics,648.6,20.8
42,Rockwell Automation,645.8,22.2
43,Eastman Kodak,633.5,69.8
44,Goodrich,630.7,38.8
45,Continental Group,616.2,20.7
46,Bendix,607.7,25.5
47,Atlantic Richfield,596.2,36.8
48,Fortune Brands,533.1,41.3
49,Ryerson Tull,532.0,41.1
50,ARMCO,530.8,43.1
51,Honeywell Intl.,519.7,10.8
52,AMAX,509.5,43.1
53,Conoco,500.1,41.7
54,Allis-Chalmers,492.9,26.1
55,Jones & Laughlin Steel,492.9,25.0
56,General Mills,487.6,11.2
57,National Intergroup,484.1,30.3
58,Curtiss-Wright,475.1,19.4
59,Olin,470.1,34.3
60,Asarco,466.8,21.5
61,Intl. Business Machines,461.4,46.5
62,Anaconda,461.1,26.7
63,Tidewater Oil,459.0,34.5
64,Cudahy,454.8,-7.2
65,Briggs Manufacturing,440.9,0.8
66,Sperry,440.9,28.5
67,Nabisco Group Holdings,438.3,44.8
68,PPG Industries,431.0,38.6
69,Dow Chemical,428.3,33.4
70,Youngstown Sheet & Tube,428.2,20.2
71,Kennecott,423.6,77.9
72,NL Industries,419.3,36.6
73,Standard Brands,415.9,10.6
74,Sealed Air,413.4,14.8
75,Caterpillar,401.0,25.1
76,American Motors,400.3,-11.1
77,Ralston Purina,399.6,15.5
78,American Cyanamid,397.6,27.1
