rank,company,revenue ($ millions),profit ($ millions)
1,Walmart,485873,13643
2,Berkshire Hathaway,223604,24074
3,Apple,215639,45687
4,Exxon Mobil,205004,7840
5,McKesson,192487,2258
6,UnitedHealth Group,184840,7017
7,CVS Health,177526,5317
8,General Motors,166380,9427
9,AT&T,163786,12976
10,Ford Motor,151800,4596
11,AmerisourceBergen,146850,1427.9
12,Amazon.com,135987,2371
13,General Electric,126661,8831
14,Verizon Communications,125980,13127
15,Cardinal Health,121546,1427
16,Costco,118719,2350
17,Walgreens Boots Alliance,117351,4173
18,Kroger,115337,1975
19,Chevron,107567,-497
20,Fannie Mae,107162,12313
21,J.P. Morgan Chase,105486,24733
22,Express Scripts Holding,100288,3404.4
23,Home Depot,94595,7957
24,Boeing,94571,4895
25,Wells Fargo,94176,21938
26,Bank of America Corp.,93662,17906
27,Alphabet,90272,19478
28,Microsoft,85320,16798
29,Anthem,84863,2469.8
30,Citigroup,82386,14912
31,Comcast,80403,8695
32,IBM,79919,11872
33,State Farm Insurance Cos.,76132,350.3
34,Phillips 66,72396,1555
35,Johnson & Johnson,71890,16540
36,Procter & Gamble,71726,10508
37,Valero Energy,70166,2289
38,Target,69495,2737
39,Freddie Mac,65665,7815
40,Lowe’s,65017,3093
41,Dell Technologies,64806,-1672
42,MetLife,63476,800
43,Aetna,63155,2271
44,PepsiCo,62799,6329
45,Archer Daniels Midland,62346,1279
46,UPS,60906,3431
47,Intel,59387,10316
48,Prudential Financial,58779,4368
49,Albertsons Cos.,58734,-502.2
50,United Technologies,57244,5055
51,Marathon Petroleum,55858,1174
52,Disney,55632,9391
53,Humana,54379,614
54,Pfizer,52824,7215
55,AIG,52367,-849
56,Lockheed Martin,50658,5302
57,Sysco,50367,949.6
58,FedEx,50365,1820
59,Hewlett Packard Enterprise,50123,3161
60,Cisco Systems,49247,10739
61,HP,48238,2496
62,Dow Chemical,48158,4318
63,HCA Holdings,44747,2890
64,Coca-Cola,41863,6527
65,New York Life Insurance,40787,1088.1
66,Centene,40721,562
67,American Airlines Group,40180,2676
68,Nationwide,40074,334.3
69,Merck,39807,3920
70,Cigna,39668,1867
71,Delta Air Lines,39639,4373
72,Best Buy,39403,1228
73,Honeywell International,39302,4809
74,Caterpillar,38537,-67
75,Liberty Mutual Insurance Group,38308,1006
76,Morgan Stanley,37949,5979
77,Massachusetts Mutual Life Insurance,37788,1273.5
78,Goldman Sachs Group,37712,7398
79,Energy Transfer Equity,37504,995
80,TIAA,37105,1492.3
81,Oracle,37047,8901
82,Tyson Foods,36881,1768
83,United Continental Holdings,36556,2263
84,Allstate,36534,1877
85,Publix Super Markets,34274,2025.7
86,American Express,33823,5408
87,TJX,33184,2298.2
88,Nike,32376,3760
89,Exelon,31360,1134
90,General Dynamics,31353,2955
91,Rite Aid,30737,165.5
92,Gilead Sciences,30390,13501
93,CHS,30347,424.2
94,3M,30109,5050
95,Time Warner,29318,3926
96,Charter Communications,29003,3522
97,Northwestern Mutual,28799,818
98,Facebook,27638,10217
99,Travelers Cos.,27625,3014
