rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,16494.8,1591.8
2,Exxon Mobil,10264.3,1019.5
3,Ford Motor,8742.5,488.5
4,General Electric,4918.7,270.6
5,Mobil,4352.1,271.9
6,U.S. Steel,3599.3,203.5
7,Chrysler,3505.3,161.6
8,Texaco,3415.7,545.7
9,Gulf Oil,2977.9,371.4
10,AT&T Technologies,2833.0,140.5
11,DuPont,2584.6,472.3
12,Esmark,2473.4,17.1
13,Amoco,2226.9,183.1
14,ChevronTexaco,2202.5,322.1
15,Shell Oil,2128.6,179.9
16,CBS,2127.3,47.8
17,Bethlehem Steel,2095.8,102.5
18,Intl. Business Machines,2059.6,290.5
19,Navistar International,1957.4,68.3
20,Lockheed Martin,1930.5,43.3
21,Rockwell Automation,1867.1,41.2
22,Kraft,1839.0,54.0
23,Armour,1810.6,16.3
24,RCA,1779.1,66.0
25,Boeing,1771.4,21.7
26,Goodyear Tire & Rubber,1731.1,81.1
27,Union Carbide,1668.2,160.2
28,Procter & Gamble,1654.5,115.8
29,General Telephone & Electronics,1443.4,105.1
30,General Dynamics,1415.1,82.7
31,ITT Industries,1414.1,52.4
32,Firestone Tire & Rubber,1382.0,63.4
33,United Technologies,1281.1,21.4
34,ConocoPhillips,1274.7,113.9
35,Sperry,1227.1,13.8
36,General Foods,1216.2,78.6
37,Citgo Petroleum,1213.9,77.5
38,Sinclair Oil,1211.5,75.2
39,Monsanto,1192.3,83.0
40,Continental Group,1154.0,40.1
41,American Can,1149.4,44.1
42,Conoco,1147.1,87.4
43,International Paper,1144.6,69.4
44,American Motors,1132.4,37.8
45,Borden Chemical,1118.9,35.1
46,Republic Steel,1114.2,55.5
47,Eastman Kodak,1106.7,144.4
48,Burlington Industries Equity,1084.9,40.6
49,GenCorp,1084.2,34.7
50,Uniroyal,980.2,22.1
51,Alcoa,972.1,51.1
52,Dow Chemical,967.7,80.7
53,Martin Marietta,966.6,34.6
54,Caterpillar,966.1,77.3
55,Honeywell Intl.,963.1,72.2
56,Nabisco Group Holdings,961.6,129.1
57,ARMCO,933.4,65.9
58,Bestfoods,856.9,50.3
59,National Intergroup,846.5,63.8
60,Sunoco,844.1,61.2
61,Jones & Laughlin Steel,835.8,44.4
62,Goodrich,828.8,27.1
63,Bendix,813.1,22.2
64,Ryerson Tull,808.1,56.1
65,Ralston Purina,807.8,23.3
66,Singer,790.2,41.5
67,Olin,779.2,37.0
68,PPG Industries,778.5,45.6
69,3M,761.8,90.6
70,Colgate-Palmolive,722.0,23.8
71,American Cyanamid,710.5,66.3
72,Anaconda,708.6,45.3
73,AMAX,706.9,37.8
74,Wilson,700.1,7.3
75,Douglas Aircraft,698.3,11.8
76,BorgWarner,688.5,37.7
77,Fortune Brands,678.0,68.8
78,Tidewater Oil,661.7,43.8
79,Owens-Illinois,654.1,39.5
80,Honeywell,648.5,34.7
81,Deere,639.1,45.7
82,Campbell Soup,638.2,43.8
83,Coca-Cola,637.4,52.4
84,Youngstown Sheet & Tube,626.9,38.9
85,Atlantic Richfield,624.3,44.0
86,NL Industries,618.6,49.6
87,FMC,618.0,32.6
88,Crown Zellerbach,616.6,39.3
89,Morrell (John),613.4,2.5
90,J.P. Stevens,609.4,13.3
91,Pure Oil,597.7,29.8
92,Sealed Air,596.8,28.5
93,St. Regis,593.9,19.4
94,NCR,592.6,20.1
95,Textron,587.0,18.0
96,Weyerhaeuser,581.9,44.2
97,Nabisco Brands,578.4,33.9
98,White Motor,572.4,15.5
99,Beatrice,569.5,13.0
100,Reynolds Metals,565.6,27.8
101,McDonnell Douglas,565.3,17.0
102,Litton Industries,553.1,23.3
103,Asarco,544.5,29.3
104,Allis-Chalmers,543.9,6.9
105,Kimberly-Clark,539.0,33.9
