rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,121085.0,4856.0
2,Ford Motor,92446.0,5300.0
3,Exxon Mobil,79557.0,5260.0
4,Intl. Business Machines,59681.0,5806.0
5,General Electric,49414.0,3386.0
6,Mobil,48198.0,2087.0
7,Chrysler,35473.0,1050.0
8,Texaco,33544.0,1304.0
9,DuPont,32514.0,2190.0
10,Altria Group,25860.0,2337.0
11,ChevronTexaco,25196.0,1768.0
12,Amoco,21150.0,2063.0
13,Shell Oil,21070.0,1239.0
14,Occidental Petroleum,19417.0,302.0
15,Procter & Gamble,19336.0,1020.0
16,United Technologies,18088.0,659.0
17,Atlantic Richfield,17626.0,1583.0
18,Eastman Kodak,17034.0,1397.0
19,Boeing,16962.0,614.0
20,Nabisco Group Holdings,16956.0,1393.0
21,Dow Chemical,16682.0,2398.0
22,Xerox,16441.0,388.0
23,Marathon Oil,15792.0,756.0
24,Tenneco Automotive,15707.0,822.0
25,McDonnell Douglas,15072.0,350.0
26,PepsiCo,13007.0,762.0
27,CBS,12500.0,823.0
28,Rockwell Automation,11946.0,812.0
29,Honeywell Intl.,11909.0,463.0
30,Digital Equipment,11475.0,1306.0
31,ConocoPhillips,11304.0,650.0
32,Goodyear Tire & Rubber,10810.0,350.0
33,Lockheed Martin,10667.0,624.0
34,3M,10581.0,1154.0
35,Caterpillar,10435.0,616.0
36,Sara Lee,10424.0,325.0
37,Weyerhaeuser,10004.0,564.0
38,Unisys,9902.0,681.0
39,Hewlett-Packard,9831.0,816.0
40,Alcoa,9795.0,861.0
41,General Dynamics,9551.0,379.0
42,International Paper,9533.0,754.0
43,Georgia-Pacific,9509.0,467.0
44,ConAgra Foods,9475.0,155.0
45,Johnson & Johnson,9000.0,974.0
46,Anheuser-Busch,8924.0,716.0
47,Unocal,8853.0,480.0
48,Sunoco,8612.0,7.0
49,Coca-Cola,8338.0,1045.0
50,Union Carbide,8324.0,662.0
51,Monsanto,8293.0,591.0
52,Motorola,8250.0,445.0
53,Raytheon,8192.0,490.0
54,Coastal,8187.0,157.0
55,Ashland,7753.0,224.0
56,LTV,7526.0,-3154.0
57,Beatrice,7505.0,529.0
58,Fortune Brands,7477.0,580.0
59,Borden Chemical,7244.0,312.0
60,Honeywell,7148.0,-435.0
61,Textron,7111.0,234.0
62,TRW,6982.0,261.0
63,Unilever U.S.,6956.0,133.0
64,Baxter International,6861.0,388.0
65,Archer Daniels Midland,6798.0,353.0
66,Emerson Electric,6652.0,529.0
67,Hanson Industries NA,6494.0,300.0
68,Texas Instruments,6295.0,366.0
69,Sealed Air,6199.0,234.0
70,Pillsbury,6191.0,69.0
71,Ralston Purina,6176.0,388.0
72,NCR,5990.0,439.0
73,Bristol-Myers Squibb,5973.0,829.0
74,Merck,5940.0,1207.0
75,Northrop Grumman,5797.0,104.0
76,General Mills,5778.0,283.0
77,Martin Marietta,5728.0,359.0
78,Hoechst Celanese,5679.0,250.0
79,PPG Industries,5617.0,468.0
80,Reynolds Metals,5567.0,482.0
81,Wyeth,5501.0,932.0
82,Bethlehem Steel,5489.0,403.0
83,Colgate-Palmolive,5484.0,318.0
84,North American Philips,5424.0,79.0
85,Kimberly-Clark,5394.0,379.0
86,Pfizer,5385.0,791.0
87,Deere,5365.0,315.0
88,Quaker Oats,5330.0,256.0
89,H.J. Heinz,5244.0,386.0
90,Dana,5172.0,162.0
91,Champion International,5129.0,456.0
92,Fort James,5098.0,209.0
93,BASF,5000.0,149.0
94,Abbott Laboratories,4937.0,752.0
95,Campbell Soup,4869.0,274.0
96,Litton Industries,4864.0,167.0
97,US Pharmaceuticals,4749.0,229.0
98,Scott Paper,4726.0,401.0
99,Bayer Corporation,4719.0,124.0
100,Bestfoods,4700.0,289.0
101,American Cyanamid,4592.0,306.0
102,Time Warner,4507.0,289.0
103,Mead,4464.0,353.0
104,Whirlpool,4421.0,94.0
105,Teledyne,4401.0,392.0
106,Kellogg,4349.0,480.0
107,Cooper Industries,4258.0,224.0
108,Eaton,4237.0,212.0
109,Warner Communications,4206.0,423.0
110,Amerada Hess,4206.0,124.0
111,Triangle Industries,4104.0,-54.0
112,OfficeMax,4095.0,289.0
113,Navistar International,4080.0,244.0
114,Apple Computer,4071.0,400.0
115,Eli Lilly,4070.0,761.0
116,Ryerson Tull,4068.0,262.0
117,AMAX,3944.0,741.0
118,Dresser Industries,3942.0,157.0
119,Whitman,3915.0,234.0
120,Warner-Lambert,3908.0,340.0
121,Coca-Cola Enterprises,3874.0,153.0
122,Stone Container,3743.0,342.0
123,American Standard,3716.0,-26.0
124,Agway,3644.0,N.A.
125,Control Data,3628.0,2.0
126,Grumman,3591.0,87.0
127,Great Northern Nekoosa,3588.0,342.0
128,Gillette,3581.0,269.0
129,Owens-Illinois,3572.0,-59.0
130,Chiquita Brands Intl.,3503.0,60.0
131,Combustion Engineering,3484.0,-245.0
132,Avon Products,3365.0,-405.0
133,Furniture Brands Intl.,3341.0,145.0
134,Gannett,3315.0,365.0
135,Cummins,3310.0,-63.0
136,FMC,3287.0,129.0
137,Brunswick,3282.0,193.0
138,Times Mirror,3259.0,332.0
139,Quantum Chemical,3235.0,383.0
140,ARMCO,3227.0,145.0
141,Sipco,3225.0,11.0
142,BorgWarner,3218.0,419.0
143,Paccar,3112.0,176.0
144,Johnson Controls,3100.0,104.0
145,Wang Laboratories,3068.0,93.0
146,Ingersoll-Rand,3021.0,162.0
147,Schering-Plough,2969.0,390.0
148,Henley Group,2903.0,-47.0
149,R.R. Donnelley & Sons,2878.0,205.0
150,Intel,2875.0,453.0
151,Owens Corning,2831.0,189.0
152,USG,2811.0,125.0
153,Farmland Industries,2805.0,N.A.
154,Hercules,2802.0,120.0
155,Emhart,2763.0,127.0
156,Pharmacia,2746.0,353.0
