rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,14640.2,1459.1
2,Exxon Mobil,9536.9,840.9
3,Ford Motor,8089.6,480.7
4,General Electric,4792.7,265.8
5,Mobil,3933.3,242.3
6,U.S. Steel,3468.8,163.7
7,Texaco,3272.1,481.7
8,Gulf Oil,2836.3,340.1
9,AT&T Technologies,2761.6,135.2
10,Esmark,2494.6,16.3
11,DuPont,2436.4,451.6
12,Chrysler,2377.6,65.4
13,ChevronTexaco,2150.9,313.8
14,Amoco,2147.8,162.4
15,Bethlehem Steel,2072.1,88.7
16,Shell Oil,1960.7,157.7
17,CBS,1954.5,57.1
18,Intl. Business Machines,1925.2,241.4
19,General Dynamics,1898.5,52.9
20,Armour,1859.4,14.8
21,Navistar International,1837.5,60.2
22,Kraft,1820.5,51.3
23,Boeing,1768.5,27.2
24,Lockheed Martin,1753.1,50.3
25,RCA,1742.7,58.5
26,Rockwell Automation,1633.7,34.6
27,Union Carbide,1630.7,159.8
28,Procter & Gamble,1619.4,109.4
29,Goodyear Tire & Rubber,1592.5,71.1
30,General Telephone & Electronics,1327.9,86.3
31,Firestone Tire & Rubber,1277.7,60.0
32,ConocoPhillips,1244.6,107.0
33,Martin Marietta,1195.3,45.4
34,General Foods,1189.5,72.2
35,Sinclair Oil,1184.6,47.4
36,Continental Group,1182.9,41.0
37,Sperry,1182.6,24.4
38,American Can,1180.5,48.7
39,United Technologies,1160.5,18.1
40,International Paper,1095.7,67.1
41,ITT Industries,1090.2,40.7
42,Citgo Petroleum,1083.4,60.2
43,Monsanto,1063.2,78.4
44,American Motors,1056.4,34.2
45,Eastman Kodak,1056.1,140.3
46,Republic Steel,1049.6,40.0
47,Borden Chemical,1047.9,32.4
48,Burlington Industries Equity,1010.0,37.5
49,Uniroyal,1006.8,25.7
50,GenCorp,959.8,26.7
51,Alcoa,938.7,64.3
52,Dow Chemical,926.2,72.9
53,ARMCO,918.6,45.9
54,Nabisco Group Holdings,900.0,119.8
55,Conoco,880.1,69.1
56,Honeywell Intl.,869.1,58.0
57,Caterpillar,827.0,62.0
58,Goodrich,812.0,26.3
59,Bestfoods,803.3,46.2
60,Bendix,794.2,22.5
61,Sunoco,794.0,53.2
62,Jones & Laughlin Steel,790.8,25.2
63,Ryerson Tull,760.1,52.5
64,Douglas Aircraft,749.9,10.2
65,National Intergroup,744.6,35.5
66,Olin,729.7,34.1
67,Wilson,711.5,7.6
68,Anaconda,691.3,48.8
69,3M,687.1,83.7
70,Ralston Purina,682.0,22.2
71,Colgate-Palmolive,673.8,22.9
72,BorgWarner,658.9,33.0
73,PPG Industries,656.7,43.0
74,Tidewater Oil,655.7,36.2
75,Fortune Brands,655.2,68.6
76,American Cyanamid,649.2,59.3
77,AMAX,642.1,28.1
78,Singer,631.1,34.5
79,Owens-Illinois,627.8,33.2
80,Honeywell,595.9,26.9
81,Campbell Soup,591.5,44.8
82,Youngstown Sheet & Tube,590.9,27.3
83,Crown Zellerbach,590.4,38.8
84,J.P. Stevens,585.9,14.7
85,Raytheon,580.7,9.6
86,Atlantic Richfield,580.7,46.3
87,St. Regis,579.0,21.3
88,Sealed Air,574.2,21.9
89,Morrell (John),571.2,2.3
90,NL Industries,570.7,49.0
91,Pure Oil,568.1,28.9
92,Coca-Cola,567.7,46.7
93,NCR,564.0,20.6
94,Textron,549.5,14.8
95,General Mills,546.4,10.2
96,Weyerhaeuser,543.2,39.1
97,Deere,541.5,36.3
98,Beatrice,539.2,11.8
99,Reynolds Metals,537.3,26.6
100,Nabisco Brands,526.5,30.4
101,Standard Brands,519.3,20.3
102,Allis-Chalmers,516.1,6.5
103,Kimberly-Clark,515.2,31.5
104,Kennecott,507.4,65.7
105,FMC,506.5,26.1
106,Wyeth,502.9,53.4
