rank,company,revenue ($ millions),profit ($ millions)
1,Exxon Mobil,108107.7,5567.5
2,Mobil,64488.0,2433.0
3,General Motors,62698.5,333.4
4,Texaco,57628.0,2310.0
5,ChevronTexaco,44224.0,2380.0
6,Ford Motor,38247.1,-1060.1
7,Amoco,29947.0,1922.0
8,Intl. Business Machines,29070.0,3308.0
9,Gulf Oil,28252.0,1231.0
10,Atlantic Richfield,27797.4,1671.3
11,General Electric,27240.0,1652.0
12,DuPont,22810.0,1401.0
13,Shell Oil,21629.0,1701.0
14,ITT Industries,17306.2,676.8
15,ConocoPhillips,15966.0,879.0
16,Tenneco Automotive,15462.0,813.0
17,Sunoco,15012.0,1076.0
18,Occidental Petroleum,14707.5,722.2
19,U.S. Steel,13940.5,1077.2
20,United Technologies,13667.8,457.7
21,BP America,13457.1,1946.9
22,AT&T Technologies,13008.0,711.3
23,Getty Oil,12887.4,856.9
24,Dow Chemical,11873.0,564.0
25,Procter & Gamble,11416.0,593.0
26,Chrysler,10821.6,-475.6
27,Unocal,10745.9,791.4
28,Eastman Kodak,10337.0,1239.0
29,Kraft,10211.0,347.5
30,Union Carbide,10168.0,649.0
31,Boeing,9788.2,473.0
32,Nabisco Group Holdings,9765.7,767.8
33,Amerada Hess,9396.2,212.6
34,CBS,9367.5,438.0
35,Ashland,9262.1,90.0
36,Marathon Oil,9220.0,343.1
37,Caterpillar,9154.5,578.9
38,Goodyear Tire & Rubber,9152.9,260.3
39,Citgo Petroleum,8899.3,-49.2
40,LTV,8822.7,386.3
41,Beatrice,8772.8,304.2
42,Xerox,8691.0,598.2
43,Altria Group,8306.6,676.2
44,RCA,8004.8,54.0
45,McDonnell Douglas,7384.9,176.6
46,Navistar International,7327.2,-393.1
47,Bethlehem Steel,7298.0,210.9
48,Rockwell Automation,7039.7,291.8
49,PepsiCo,7027.4,333.5
50,Monsanto,6947.7,445.1
51,ARMCO,6906.0,294.5
52,General Foods,6601.3,255.4
53,Sealed Air,6520.8,361.3
54,3M,6508.0,673.0
55,Honeywell Intl.,6407.0,348.0
56,Union Pacific,6374.7,410.7
57,Lockheed Martin,6232.7,-288.8
58,Coca-Cola,6129.3,481.8
59,Coastal,5909.7,-96.4
60,Nabisco Brands,5819.2,266.3
61,Gulf & Western Industries,5702.5,290.9
62,Raytheon,5636.2,324.0
63,Sara Lee,5614.1,140.3
64,Farmland Industries,5503.3,N.A.
65,Deere,5446.7,251.0
66,Sperry,5427.2,313.0
67,Georgia-Pacific,5414.0,160.0
68,Johnson & Johnson,5399.0,467.6
69,Honeywell,5351.2,259.3
70,Signal Companies,5342.6,214.0
71,TRW,5285.1,228.8
72,Colgate-Palmolive,5261.4,208.4
73,Ralston Purina,5233.8,174.8
74,Continental Group,5194.4,242.2
75,Charter,5064.7,7.7
76,General Dynamics,5063.4,124.1
77,International Paper,4983.4,525.0
78,Alcoa,4977.5,296.2
79,Litton Industries,4942.8,311.6
80,General Mills,4852.4,196.6
81,American Can,4836.4,76.7
82,Greyhound,4699.1,138.2
83,Dresser Industries,4614.5,316.6
84,Weyerhaeuser,4501.5,228.3
85,Borden Chemical,4415.2,159.9
86,Bendix,4393.1,452.8
87,Republic Steel,4382.1,190.1
88,Firestone Tire & Rubber,4361.0,135.0
89,Bestfoods,4343.1,218.4
90,BATUS,4245.5,179.7
91,Texas Instruments,4206.0,108.5
92,Whitman,4194.5,134.4
93,Wyeth,4131.2,497.3
94,National Intergroup,4062.3,86.1
95,Chiquita Brands Intl.,4058.4,29.4
96,Fortune Brands,4039.1,386.1
97,Champion International,4004.0,101.4
98,Owens-Illinois,3943.3,154.1
99,Anheuser-Busch,3847.2,217.4
100,Agway,3828.3,N.A.
101,Kerr-McGee,3826.4,211.1
102,Combustion Engineering,3809.7,147.3
103,Ryerson Tull,3754.9,57.3
104,Celanese,3752.0,144.0
105,Fruit of the Loom,3680.2,419.3
106,American Cyanamid,3649.1,197.1
107,Archer Daniels Midland,3647.5,176.0
108,McDermott,3599.6,106.7
109,FMC,3582.0,139.5
110,Hewlett-Packard,3578.0,312.0
111,H.J. Heinz,3568.9,167.5
112,Maxus Energy,3563.8,121.3
113,Bristol-Myers Squibb,3496.7,305.8
114,Reynolds Metals,3481.1,86.7
115,Land O'Lakes,3470.2,N.A.
116,NCR,3432.7,208.2
117,Tosco,3431.5,22.6
118,Emerson Electric,3429.3,273.3
119,Warner-Lambert,3380.0,9.2
120,Ingersoll-Rand,3377.6,193.3
121,Carnation,3354.1,172.3
122,PPG Industries,3353.6,211.2
123,Penn Central,3348.8,168.7
124,Textron,3341.8,151.8
125,Time Warner,3337.4,148.8
126,Motorola,3335.9,175.0
127,Esmark,3319.8,93.8
128,Unisys,3318.5,148.9
129,Pillsbury,3301.7,119.6
130,Martin Marietta,3294.1,200.1
131,North American Philips,3273.8,104.0
132,Burlington Industries Equity,3262.9,115.3
133,Pfizer,3249.7,221.3
134,Teledyne,3237.6,412.3
135,Warner Communications,3237.2,226.5
136,Kaisertech,3225.5,132.9
137,Digital Equipment,3198.1,343.3
138,Goodrich,3184.6,109.5
139,Eaton,3165.3,82.4
140,Crown Zellerbach,3148.3,75.3
141,Norton Simon,3144.2,103.7
142,Cooper Industries,3135.1,284.5
143,OfficeMax,3107.4,120.1
144,Control Data,3101.3,170.6
145,Merck,2929.5,398.3
146,Mead,2899.7,106.9
147,Kimberly-Clark,2885.7,204.7
148,Levi Strauss,2851.2,172.3
149,Kidde,2849.2,99.2
150,Singer,2833.6,38.4
151,St. Regis,2818.8,179.2
152,AMAX,2799.4,230.8
153,Campbell Soup,2797.7,129.7
154,Eli Lilly,2773.2,374.5
155,BorgWarner,2761.2,172.1
156,NL Industries,2738.3,316.0
157,Hercules,2718.4,136.5
158,Dana,2711.1,115.6
159,Pennzoil,2681.8,221.6
160,Avon Products,2613.8,219.9
161,Quaker Oats,2599.5,105.2
162,American Motors,2588.9,-136.6
163,GenCorp,2524.3,110.9
164,FINA,2504.0,74.1
165,American Standard,2471.3,111.5
166,Whirlpool,2450.1,125.6
167,Murphy Oil,2446.8,163.0
168,McGraw-Edison,2428.5,84.1
169,Owens Corning,2375.1,49.8
170,Furniture Brands Intl.,2368.5,124.3
171,Revlon,2365.9,174.8
172,Abbott Laboratories,2342.5,247.3
173,Gillette,2334.4,124.3
174,Ogden,2324.3,65.1
175,Kellogg,2321.3,205.4
176,Scott Paper,2309.4,133.3
177,Uniroyal,2260.1,51.6
178,Gould,2244.5,95.7
179,Coltec Industries,2242.6,109.5
180,Engelhard,2191.8,66.4
181,Manville,2186.0,60.3
182,Mapco,2182.5,96.9
183,Fruehauf,2175.1,21.4
184,White Consolidated Industries,2172.8,62.0
185,Baker Hughes,2140.0,225.0
186,Times Mirror,2130.8,150.3
187,Superior Oil,2057.4,361.3
188,Allis-Chalmers,2041.8,-28.8
189,J.P. Stevens,2031.3,-22.9
190,Koppers,2018.6,51.6
191,Walter Industries,2017.1,23.4
192,Staley Continental,2006.2,105.8
193,Olin,2001.3,92.8
194,Northrop Grumman,1990.7,47.9
195,US Pharmaceuticals,1985.3,370.0
196,Imcera Group,1984.9,153.8
197,Amstar,1980.4,73.4
198,Williams,1976.3,109.5
199,Central Soya,1975.0,19.9
200,Cummins,1962.5,115.2
201,Safety-Kleen,1938.4,56.5
202,Anderson Clayton,1929.6,51.4
203,Grumman,1915.5,20.5
204,Allegheny International,1907.8,81.0
205,Pharmacia,1898.3,181.8
206,Rohm & Haas,1884.7,93.1
207,Squibb,1846.4,104.8
208,Marmon Group,1819.2,83.4
209,Wheelabrator-Frye,1812.8,91.3
210,Schering-Plough,1808.8,179.3
211,Sterling Drug,1792.9,130.3
212,Gold Kist Holdings,1781.7,N.A.
213,Hughes Tool,1759.1,255.2
214,Ethyl,1757.2,90.9
215,Emhart,1747.1,75.5
216,Paccar,1735.4,85.1
217,Stauffer Chemical,1726.2,149.9
218,Quantum Chemical,1703.1,136.7
219,General Signal,1702.5,117.1
220,Foster Wheeler,1674.1,64.3
221,Whittaker,1671.8,69.3
222,Union Camp,1665.9,168.9
223,Cabot,1622.8,110.2
224,Crane,1611.3,53.8
225,Hoechst Celanese,1609.0,24.0
226,Corning,1598.5,97.4
227,Heublein,1591.4,88.4
228,Air Products & Chem.,1570.1,126.0
229,Harris,1551.5,104.0
230,Westvaco,1550.5,100.8
231,Sherwin-Williams,1536.8,31.4
