rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,16997.0,1734.8
2,Exxon Mobil,10814.7,1050.6
3,Ford Motor,9670.8,505.6
4,General Electric,4941.4,237.3
5,Mobil,4499.4,294.2
6,Chrysler,4287.3,213.8
7,U.S. Steel,4077.5,236.8
8,Texaco,3573.8,577.4
9,Intl. Business Machines,3239.4,431.2
10,Gulf Oil,3174.3,395.1
11,AT&T Technologies,3117.2,152.8
12,DuPont,2786.5,471.4
13,Esmark,2610.1,25.1
14,Shell Oil,2331.9,198.2
15,Amoco,2317.6,194.9
16,ChevronTexaco,2285.7,345.3
17,CBS,2271.2,76.7
18,Bethlehem Steel,2240.7,147.9
19,Navistar International,2190.4,98.7
20,Rockwell Automation,2187.2,49.3
21,Goodyear Tire & Rubber,2010.6,100.2
22,Boeing,1969.5,45.3
23,Kraft,1919.9,63.8
24,Procter & Gamble,1913.7,130.8
25,Armour,1887.0,22.8
26,Union Carbide,1878.9,221.7
27,RCA,1797.0,82.5
28,General Telephone & Electronics,1773.6,136.5
29,Lockheed Martin,1601.0,45.1
30,General Dynamics,1579.9,42.6
31,ITT Industries,1542.1,63.2
32,Firestone Tire & Rubber,1448.8,79.0
33,Monsanto,1358.7,114.9
34,ConocoPhillips,1341.5,115.0
35,General Foods,1338.0,83.5
36,Borden Chemical,1293.4,45.5
37,Sperry,1278.6,28.2
38,Republic Steel,1272.7,72.3
39,Conoco,1267.6,100.1
40,International Paper,1245.9,81.3
41,Eastman Kodak,1237.2,187.2
42,United Technologies,1235.9,29.1
43,American Can,1225.8,46.9
44,Burlington Industries Equity,1206.4,50.9
45,Continental Group,1198.1,48.9
46,Sinclair Oil,1187.3,58.7
47,Citgo Petroleum,1170.4,84.5
48,Caterpillar,1161.0,123.8
49,Uniroyal,1086.6,30.1
50,Dow Chemical,1077.5,93.8
51,ARMCO,1063.5,80.4
52,Honeywell Intl.,1043.1,81.0
53,Alcoa,1036.9,60.8
54,GenCorp,1027.2,36.9
55,American Motors,1009.5,26.2
56,National Intergroup,966.1,84.9
57,Jones & Laughlin Steel,946.6,60.1
58,Nabisco Group Holdings,937.6,124.0
59,3M,903.9,102.3
60,Singer,896.2,52.8
61,Anaconda,895.0,57.2
62,Bestfoods,894.2,49.5
63,Ryerson Tull,873.7,71.1
64,Goodrich,872.4,34.0
65,McDonnell Douglas,865.4,24.5
66,Ralston Purina,864.8,24.4
67,Sunoco,838.3,68.5
68,Coca-Cola,833.6,65.3
69,FMC,830.1,44.5
70,PPG Industries,827.6,49.0
71,Deere,816.6,59.4
72,Olin,815.7,41.3
73,Sealed Air,815.0,40.0
74,Colgate-Palmolive,806.6,25.9
75,American Cyanamid,779.0,81.6
76,Martin Marietta,767.1,37.2
77,Wilson,766.4,12.6
78,Bendix,742.3,23.9
79,Youngstown Sheet & Tube,725.9,53.8
80,Textron,720.2,22.1
81,BorgWarner,719.3,41.8
82,Celanese,700.8,54.9
83,Owens-Illinois,693.6,42.7
84,Fortune Brands,689.2,73.2
