rank,company,revenue ($ millions),profit ($ millions)
1,Exxon Mobil,42061.3,3142.2
2,General Motors,31549.5,950.1
3,Ford Motor,23620.6,360.9
4,Texaco,23255.5,1586.4
5,Mobil,18929.0,1047.4
6,ChevronTexaco,17191.2,970.0
7,Gulf Oil,16458.0,1065.0
8,General Electric,13413.1,608.1
9,Intl. Business Machines,12675.3,1837.6
10,ITT Industries,11154.4,451.1
11,Chrysler,10971.4,-52.1
12,U.S. Steel,9186.4,634.9
13,Amoco,9085.4,970.3
14,Shell Oil,7633.5,620.5
15,AT&T Technologies,7381.7,310.6
16,Conoco,7041.4,327.6
17,DuPont,6910.1,403.5
18,Atlantic Richfield,6739.7,474.6
19,CBS,6466.1,28.1
20,Occidental Petroleum,5719.4,280.7
21,Bethlehem Steel,5381.0,342.0
22,Union Carbide,5320.1,530.1
23,Goodyear Tire & Rubber,5256.2,157.5
24,Tenneco Automotive,5001.5,321.5
25,ConocoPhillips,4980.7,402.1
26,Navistar International,4965.9,124.1
27,Dow Chemical,4938.5,557.5
28,Procter & Gamble,4912.3,316.7
29,LTV,4768.0,111.7
30,Esmark,4615.7,68.1
31,RCA,4594.3,113.3
32,Eastman Kodak,4583.6,629.5
33,Kraft,4471.4,94.6
34,Unocal,4419.0,288.0
35,Rockwell Automation,4408.5,130.3
36,Caterpillar,4082.1,229.2
37,Sunoco,3799.6,377.7
38,Amerada Hess,3744.5,201.9
39,Boeing,3730.7,72.4
40,Firestone Tire & Rubber,3674.9,154.0
41,Xerox,3576.4,331.1
42,Beatrice,3541.2,117.0
43,Monsanto,3497.9,323.2
44,Sealed Air,3472.3,130.6
45,Greyhound,3458.3,58.0
46,United Technologies,3321.1,104.7
47,Lockheed Martin,3279.1,23.2
48,Borden Chemical,3264.5,83.8
49,Nabisco Group Holdings,3229.7,310.7
50,Ashland,3215.7,113.0
51,ARMCO,3190.1,204.3
52,Continental Group,3087.4,119.4
53,Litton Industries,3082.0,-39.8
54,McDonnell Douglas,3075.0,106.7
55,Ralston Purina,3073.2,90.7
56,International Paper,3042.2,262.6
57,General Foods,2986.7,119.5
58,3M,2937.0,301.7
59,Marathon Oil,2882.2,170.5
60,Citgo Petroleum,2806.3,203.8
61,Getty Oil,2742.3,281.0
62,Republic Steel,2741.4,170.7
63,National Intergroup,2727.8,175.8
64,Alcoa,2727.3,173.1
65,Singer,2661.7,-10.1
66,American Can,2657.9,95.1
67,Honeywell,2625.7,75.8
68,Colgate-Palmolive,2615.4,118.7
69,Sperry,2613.5,112.6
70,Bestfoods,2570.3,99.2
71,Champion International,2532.3,100.9
72,Weyerhaeuser,2529.0,276.2
73,Coca-Cola,2522.2,196.0
74,Deere,2495.1,164.3
75,TRW,2486.0,100.9
76,Bendix,2480.9,75.8
77,Ryerson Tull,2450.3,148.0
78,Georgia-Pacific,2432.3,164.3
79,Sara Lee,2379.9,71.6
80,Burlington Industries Equity,2330.0,99.5
81,Uniroyal,2300.5,48.6
82,Gulf & Western Industries,2295.5,100.6
83,Chiquita Brands Intl.,2230.1,-43.6
84,Honeywell Intl.,2215.9,150.8
85,Fortune Brands,2210.4,136.7
86,BP America,2166.2,147.5
87,Owens-Illinois,2116.4,83.5
88,Textron,2113.8,105.9
89,PepsiCo,2080.8,87.4
90,FMC,2074.1,80.9
91,Wyeth,2048.7,225.6
92,Altria Group,2042.1,175.5
93,American Motors,2000.2,27.5
94,General Mills,2000.1,75.1
95,Reynolds Metals,1993.2,111.1
96,Goodrich,1979.8,52.0
97,NCR,1979.0,87.2
98,General Dynamics,1968.4,52.9
99,Johnson & Johnson,1937.2,161.6
100,Raytheon,1928.9,57.8
101,Celanese,1928.0,98.0
102,Warner-Lambert,1911.0,155.3
103,Carnation,1886.8,79.7
104,Ogden,1858.1,46.6
105,Lykes,1793.2,121.0
106,Nabisco Brands,1793.0,45.5
107,American Cyanamid,1779.9,154.7
108,BorgWarner,1767.8,50.8
109,Crown Zellerbach,1766.2,124.8
110,Eaton,1759.7,89.9
111,CBS,1751.3,108.6
112,Central Soya,1749.3,31.6
113,PPG Industries,1744.0,93.7
114,Kaisertech,1735.5,104.3
115,GenCorp,1726.2,78.1
116,Teledyne,1700.0,31.1
117,American Standard,1677.0,41.8
118,Anaconda,1672.7,247.1
119,Kennecott,1664.2,210.9
120,Standard Brands,1647.9,55.9
121,Signal Companies,1645.0,176.1
122,Whirlpool,1620.0,24.9
123,Norton Simon,1599.8,72.3
124,NL Industries,1597.5,77.9
125,Bristol-Myers Squibb,1590.9,120.4
126,Texas Instruments,1572.5,89.6
127,U.S. Industries,1566.7,18.2
128,Archer Daniels Midland,1551.3,29.4
129,Kerr-McGee,1550.3,116.4
130,Pfizer,1541.7,135.3
131,Iowa Beef Processors,1537.2,16.5
132,Mead,1526.0,82.0
133,Hercules,1525.5,93.7
134,Unisys,1510.8,142.9
135,St. Regis,1470.8,105.0
136,Campbell Soup,1468.2,85.4
137,OfficeMax,1453.5,105.0
138,Kimberly-Clark,1439.4,95.3
139,H.J. Heinz,1438.3,64.3
140,Combustion Engineering,1428.0,37.5
141,Associated Milk Producers,1416.3,N.A.
142,Ingersoll-Rand,1414.8,101.1
143,Anheuser-Busch,1413.1,64.0
144,Pullman,1411.4,41.3
145,Whitman,1402.9,60.1
146,Dresser Industries,1398.0,63.2
147,White Motor,1389.8,22.6
148,Clark Equipment,1370.6,50.1
149,Motorola,1367.2,70.7
150,Studebaker-Worthington,1349.8,9.7
151,Asarco,1344.0,125.8
152,Merck,1329.5,210.5
153,Fruehauf,1315.0,22.7
154,Coastal,1305.2,55.1
155,Walter Industries,1291.9,63.3
156,Babcock & Wilcox,1277.2,34.1
157,J.P. Stevens,1264.1,39.4
158,Allis-Chalmers,1262.3,22.1
159,Avon Products,1260.3,111.8
160,Gillette,1246.4,87.7
