rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,102813.7,2944.7
2,Exxon Mobil,69888.0,5360.0
3,Ford Motor,62715.8,3285.1
4,Intl. Business Machines,51250.0,4789.0
5,Mobil,44866.0,1407.0
6,General Electric,35211.0,2492.0
7,AT&T,34087.0,139.0
8,Texaco,31613.0,725.0
9,DuPont,27148.0,1538.0
10,ChevronTexaco,24351.0,715.0
11,Chrysler,22513.5,1403.6
12,Altria Group,20681.0,1478.0
13,Amoco,18281.0,747.0
14,Nabisco Group Holdings,16998.0,1064.0
15,Shell Oil,16833.0,883.0
16,Boeing,16341.0,665.0
17,United Technologies,15669.2,72.7
18,Procter & Gamble,15439.0,709.0
19,Occidental Petroleum,15344.1,181.1
20,Atlantic Richfield,14585.8,615.1
21,Tenneco Automotive,14558.0,-39.0
22,Marathon Oil,14000.0,-1833.0
23,McDonnell Douglas,12660.6,277.5
24,Rockwell Automation,12295.7,611.2
25,Honeywell Intl.,11794.0,605.0
26,Eastman Kodak,11550.0,374.0
27,Dow Chemical,11113.0,732.0
28,CBS,10731.0,670.8
29,Goodyear Tire & Rubber,10327.7,124.1
30,Lockheed Martin,10273.0,408.0
31,ConocoPhillips,9786.0,228.0
32,Xerox,9377.0,465.0
33,Sunoco,9376.0,385.0
34,PepsiCo,9290.8,457.5
35,BP America,9219.0,-345.0
36,General Dynamics,9211.4,-52.5
37,Kraft,8742.2,413.2
38,Coca-Cola,8668.6,934.3
39,3M,8602.0,779.0
40,Sara Lee,7937.7,223.5
41,ITT Industries,7895.5,493.7
42,Union Carbide,7828.0,496.0
43,Anheuser-Busch,7677.2,518.0
44,Digital Equipment,7590.4,617.4
45,Unocal,7482.0,176.0
46,Unisys,7432.4,-43.4
47,Caterpillar,7321.0,76.0
48,Raytheon,7308.0,393.2
49,LTV,7271.4,-3251.6
50,Georgia-Pacific,7223.0,296.0
51,Hewlett-Packard,7102.0,516.0
52,Honeywell,7086.7,-398.1
53,Johnson & Johnson,7002.9,329.5
54,Ashland,6991.3,208.6
55,Monsanto,6879.0,433.0
56,Sealed Air,6808.3,-472.3
57,Coastal,6668.2,71.6
58,TRW,6450.1,217.7
59,ConAgra Foods,5911.0,105.3
60,Motorola,5888.0,194.0
61,Pillsbury,5847.9,208.1
62,Weyerhaeuser,5652.0,276.7
63,Baxter International,5634.0,444.0
64,Northrop Grumman,5608.4,41.2
65,Ralston Purina,5514.6,388.7
66,International Paper,5501.0,305.0
67,Archer Daniels Midland,5336.0,230.4
68,Fortune Brands,5261.2,365.3
69,Textron,5226.3,239.2
70,Borden Chemical,5002.1,223.3
71,Colgate-Palmolive,4984.6,177.5
72,Texas Instruments,4974.0,29.1
73,Emerson Electric,4952.9,408.9
74,Wyeth,4926.5,778.8
75,NCR,4881.6,336.5
76,Bristol-Myers Squibb,4835.9,589.5
77,Martin Marietta,4752.5,202.3
78,PPG Industries,4687.1,316.4
79,Alcoa,4667.2,254.1
80,General Mills,4586.6,183.5
81,Bestfoods,4548.8,219.2
82,North American Philips,4531.6,68.5
83,Litton Industries,4521.0,71.1
84,Pfizer,4476.0,660.0
85,Whitman,4439.4,-136.7
86,Champion International,4387.6,200.8
87,Campbell Soup,4378.7,223.2
