rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,10796.4,847.4
2,Exxon Mobil,7126.9,808.5
3,Ford Motor,4647.0,236.6
4,U.S. Steel,4228.9,348.1
5,General Electric,4090.0,213.8
6,Mobil,2750.3,249.5
7,Chrysler,2676.3,20.0
8,Esmark,2429.3,14.0
9,AT&T Technologies,2372.7,81.0
10,Gulf Oil,2339.7,282.7
11,Bethlehem Steel,2326.7,161.4
12,Texaco,2046.3,302.3
13,Armour,2011.4,14.7
14,Amoco,1890.2,149.4
15,DuPont,1888.4,383.4
16,Shell Oil,1635.4,135.8
17,CBS,1525.4,3.5
18,ChevronTexaco,1452.5,267.9
19,Goodyear Tire & Rubber,1358.8,62.5
20,Kraft,1352.9,41.7
21,Union Carbide,1324.5,146.2
22,Navistar International,1252.1,49.6
23,Republic Steel,1244.2,90.4
24,Sinclair Oil,1180.1,95.9
25,RCA,1121.1,40.0
26,Firestone Tire & Rubber,1115.2,60.5
27,Douglas Aircraft,1073.5,33.2
28,General Dynamics,1047.8,31.9
29,Procter & Gamble,1038.3,59.3
30,ConocoPhillips,1033.4,95.2
31,Continental Group,1010.3,43.1
32,Boeing,1006.4,32.1
33,Citgo Petroleum,973.7,62.2
34,International Paper,969.6,86.6
35,United Technologies,952.9,37.1
36,General Foods,931.1,39.0
37,Rockwell Automation,914.0,28.8
38,Uniroyal,901.3,31.9
39,Borden Chemical,877.0,23.6
40,Alcoa,864.4,89.6
41,Sperry,815.8,47.4
42,American Can,771.6,34.8
43,ARMCO,761.8,65.6
44,Eastman Kodak,761.7,94.2
45,Anaconda,749.4,111.5
46,Jones & Laughlin Steel,742.6,45.1
47,Lockheed Martin,742.6,13.9
48,Intl. Business Machines,734.3,68.8
49,Sunoco,731.4,56.2
50,Ryerson Tull,727.2,53.0
51,Goodrich,724.2,43.8
52,Caterpillar,685.9,55.4
53,Youngstown Sheet & Tube,676.3,43.2
54,Honeywell Intl.,668.9,47.0
55,AMAX,667.3,23.9
56,National Intergroup,664.3,52.5
57,Burlington Industries Equity,636.4,20.8
58,Wilson,609.0,7.1
59,BorgWarner,598.7,35.8
60,Ogden,597.7,6.7
61,Olin,596.7,44.8
62,PPG Industries,596.6,55.4
63,Asarco,592.9,39.8
64,Fortune Brands,585.2,52.0
65,Bendix,581.4,24.3
66,NL Industries,576.3,63.2
67,Conoco,576.3,51.8
68,Curtiss-Wright,571.1,43.2
69,Kennecott,567.0,143.2
70,Dow Chemical,565.3,59.7
71,Allis-Chalmers,547.4,20.4
72,Atlantic Richfield,544.9,47.2
73,ITT Industries,544.8,28.1
74,Monsanto,541.9,38.6
75,Tidewater Oil,522.6,38.0
76,Nabisco Group Holdings,518.3,61.9
77,General Mills,516.1,14.1
78,American Cyanamid,500.7,55.4
79,Owens-Illinois,496.0,35.3
80,Pure Oil,486.2,36.6
81,Standard Brands,473.2,12.1
82,Crown Zellerbach,462.4,73.7
83,Sealed Air,438.1,19.8
84,Campbell Soup,429.8,29.2
85,Phelps Dodge,418.8,87.0
86,Nabisco Brands,410.5,20.3
