rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,9522.0,633.6
2,Exxon Mobil,7543.6,562.5
3,Ford Motor,4130.3,95.7
4,General Electric,4120.8,242.9
5,U.S. Steel,3472.2,301.6
6,Mobil,2885.7,156.8
7,Gulf Oil,2769.4,329.5
8,Esmark,2645.4,10.0
9,Texaco,2327.9,310.2
10,AT&T Technologies,2173.4,85.9
11,Chrysler,2165.4,-33.8
12,Bethlehem Steel,2005.9,137.7
13,CBS,1895.7,74.8
14,Amoco,1864.0,117.8
15,Armour,1850.4,5.6
16,DuPont,1829.2,341.2
17,Boeing,1711.9,29.4
18,Shell Oil,1666.0,116.6
19,ChevronTexaco,1559.2,257.8
20,General Dynamics,1511.5,36.7
21,Kraft,1451.2,45.5
22,Goodyear Tire & Rubber,1367.6,65.7
23,Union Carbide,1296.5,124.9
24,Procter & Gamble,1295.2,73.2
25,Douglas Aircraft,1209.9,16.8
26,United Technologies,1200.4,42.3
27,Sinclair Oil,1190.4,49.5
28,Intl. Business Machines,1171.8,126.2
29,RCA,1170.7,30.9
30,Navistar International,1098.4,43.0
31,Continental Group,1080.4,41.4
32,ConocoPhillips,1066.6,84.2
33,Firestone Tire & Rubber,1061.6,53.8
34,American Can,1037.0,46.4
35,Citgo Petroleum,1015.3,44.9
36,General Foods,1008.9,48.4
37,Lockheed Martin,962.7,18.6
38,International Paper,915.1,72.0
39,Borden Chemical,915.0,24.6
40,Republic Steel,910.4,61.9
41,Rockwell Automation,904.0,26.8
42,Uniroyal,870.6,22.7
43,ARMCO,867.4,57.5
44,Sperry,864.3,27.5
45,Eastman Kodak,828.8,98.9
46,Alcoa,753.1,42.9
47,Sunoco,721.8,32.1
48,Goodrich,697.3,35.5
49,ITT Industries,687.5,26.6
50,Wilson,683.7,7.8
51,Ryerson Tull,656.0,47.9
52,Jones & Laughlin Steel,654.1,23.2
53,Burlington Industries Equity,651.5,11.7
54,Nabisco Group Holdings,640.5,78.3
55,Fortune Brands,637.2,58.8
56,Dow Chemical,636.2,46.1
57,Honeywell Intl.,635.5,34.2
58,Bendix,619.1,21.2
59,Olin,601.4,9.4
60,Conoco,596.5,47.5
61,Caterpillar,585.2,32.2
62,Tidewater Oil,552.9,2.6
63,Monsanto,548.0,34.5
64,National Intergroup,540.0,35.8
65,Atlantic Richfield,538.1,33.8
66,AMAX,534.3,18.2
67,Colgate-Palmolive,534.0,21.2
68,BorgWarner,533.0,21.1
69,Allis-Chalmers,532.0,19.7
70,General Mills,529.8,14.7
71,American Cyanamid,525.1,43.8
72,Anaconda,523.1,33.9
73,Standard Brands,519.7,14.7
74,PPG Industries,513.6,32.1
75,Owens-Illinois,508.5,37.8
76,Campbell Soup,501.4,31.5
77,Youngstown Sheet & Tube,499.6,21.5
78,Ralston Purina,493.5,17.5
79,Martin Marietta,483.6,8.9
80,Pure Oil,473.4,28.8
81,Deere,472.6,42.1
82,Bestfoods,470.9,32.5
83,American Motors,470.3,26.1
84,GenCorp,469.8,11.3
85,Crown Zellerbach,468.8,33.2
86,NL Industries,457.6,44.7
87,Reynolds Metals,445.5,38.2
88,McDonnell Douglas,442.4,10.0
89,Sealed Air,434.2,10.0
90,Asarco,417.1,17.3
91,Foremost Dairies,416.4,9.6
92,Nabisco Brands,413.3,22.1
93,Hygrade Food Products,411.5,1.4
94,Weyerhaeuser,410.4,49.6
95,Kaisertech,408.6,25.2
96,Unocal,408.0,25.0
97,Whirlpool,404.6,10.2
98,Morrell (John),401.7,2.3
99,Kennecott,395.4,60.1
100,NCR,393.7,15.5
101,Curtiss-Wright,388.8,25.1
102,BP America,388.1,24.0
103,J.P. Stevens,386.3,5.7
104,Lever Brothers,382.6,10.1
105,Merritt-Chapman & Scott,382.1,9.1
106,United Merchants & Mfrs.,379.3,7.1
107,Carnation,378.6,9.8
108,IPL,377.0,7.4
109,St. Regis,376.8,21.1
110,3M,376.3,43.9
111,Raytheon,375.2,9.4
112,Wyeth,374.9,42.4
113,Sunray DX Oil,372.3,40.7
114,Cudahy,369.0,2.7
115,Babcock & Wilcox,365.9,13.0
116,Combustion Engineering,363.6,8.5
117,Singer,361.9,10.8
118,Hormel Foods,361.0,3.0
119,Pullman,354.5,7.8
120,Beatrice,354.0,7.6
121,American Standard,351.4,10.3
122,Pillsbury,350.6,5.6
123,Philco,340.7,2.9
124,TRW,340.6,9.0
125,Crane,336.2,2.2
126,Sylvania Electric Products,333.3,8.4
127,Chance Vought,333.2,9.0
128,Kimberly-Clark,333.1,24.4
129,Honeywell,328.5,22.6
130,Continental Baking,328.0,8.9
131,Del Monte Foods,325.5,8.4
132,Amstar,323.3,11.6
133,FMC,323.2,16.5
134,Liggett Group,316.1,31.2
135,Quaker Oats,314.5,12.9
