rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,12736.0,959.0
2,Exxon Mobil,8034.7,688.6
3,Ford Motor,5237.9,427.9
4,General Electric,4197.5,200.1
5,U.S. Steel,3698.5,304.2
6,Mobil,3178.1,182.6
7,Chrysler,3007.0,32.2
8,Texaco,2980.3,391.8
9,Gulf Oil,2720.8,330.3
10,AT&T Technologies,2640.4,124.5
11,Esmark,2442.5,18.4
12,Bethlehem Steel,2178.1,121.2
13,DuPont,2142.6,381.4
14,Amoco,2005.8,144.8
15,General Dynamics,1987.7,-27.1
16,CBS,1955.7,79.1
17,Shell Oil,1827.8,144.6
18,Armour,1735.6,16.2
19,Navistar International,1683.3,53.7
20,Kraft,1667.2,50.7
21,ChevronTexaco,1663.4,266.1
22,Boeing,1554.6,24.5
23,Goodyear Tire & Rubber,1550.9,71.0
24,Union Carbide,1548.2,158.0
25,RCA,1486.2,35.1
26,Procter & Gamble,1441.5,98.1
27,Intl. Business Machines,1436.1,168.2
28,Lockheed Martin,1332.3,-42.9
29,Sinclair Oil,1222.4,52.5
30,Firestone Tire & Rubber,1207.2,65.0
31,ConocoPhillips,1200.2,112.9
32,General Telephone & Electronics,1178.5,72.4
33,Douglas Aircraft,1174.0,-19.4
34,Sperry,1173.1,37.2
35,Continental Group,1117.0,27.8
36,General Foods,1087.1,61.1
37,American Can,1059.0,35.4
38,American Motors,1057.7,48.2
39,Republic Steel,1053.9,52.8
40,International Paper,1012.6,71.7
41,United Technologies,987.9,13.9
42,Citgo Petroleum,980.6,41.3
43,Uniroyal,966.8,30.7
44,Rockwell Automation,964.2,23.4
45,Borden Chemical,956.0,26.9
46,Eastman Kodak,944.8,127.1
47,ARMCO,938.0,70.5
48,Burlington Industries Equity,913.0,35.4
49,Monsanto,890.1,67.8
50,Alcoa,861.2,40.0
51,ITT Industries,811.4,38.5
52,Nabisco Group Holdings,795.8,105.3
53,Bendix,787.0,26.2
54,Dow Chemical,781.4,82.4
55,Jones & Laughlin Steel,778.8,33.2
56,Honeywell Intl.,765.8,51.3
57,Goodrich,764.7,30.0
58,GenCorp,753.9,22.8
59,Sunoco,749.8,49.3
60,Ryerson Tull,747.1,47.1
61,Fortune Brands,724.1,62.5
62,Caterpillar,716.0,42.6
63,National Intergroup,697.1,41.9
