rank,company,revenue ($ millions),profit ($ millions)
1,Walmart,"$523,964","$14,881"
2,Sinopec Group,"$407,009","$6,793"
3,State Grid,"$383,906","$7,970"
4,China National Petroleum,"$379,130","$4,443"
5,Royal Dutch Shell,"$352,106","$15,842"
6,Saudi Aramco,"$329,784","$88,211"
7,Volkswagen,"$282,760","$15,542"
8,BP,"$282,616","$4,026"
9,Amazon.com,"$280,522","$11,588"
10,Toyota Motor,"$275,288","$19,096"
11,Exxon Mobil,"$264,938","$14,340"
12,Apple,"$260,174","$55,256"
13,CVS Health,"$256,776","$6,634"
14,Berkshire Hathaway,"$254,616","$81,417"
15,UnitedHealth Group,"$242,155","$13,839"
16,McKesson,"$231,051",$900
17,Glencore,"$215,111",-$404
18,China State Construction Engineering,"$205,839","$3,333"
19,Samsung Electronics,"$197,705","$18,453"
20,Daimler,"$193,346","$2,661"
21,Ping An Insurance,"$184,280","$21,627"
22,AT&T,"$181,193","$13,903"
23,AmerisourceBergen,"$179,589",$855
24,Industrial & Commercial Bank of China,"$177,069","$45,195"
25,Total,"$176,249","$11,267"
26,Hon Hai Precision Industry,"$172,869","$3,731"
27,Trafigura Group,"$171,474",$872
28,EXOR Group,"$162,754","$3,417"
29,Alphabet,"$161,857","$34,343"
30,China Construction Bank,"$158,884","$38,610"
31,Ford Motor,"$155,900",$47
32,Cigna,"$153,566","$5,104"
33,Costco Wholesale,"$152,703","$3,659"
34,AXA,"$148,984","$4,317"
35,Agricultural Bank of China,"$147,313","$30,701"
36,Chevron,"$146,516","$2,924"
37,Cardinal Health,"$145,534","$1,363"
38,JPMorgan Chase,"$142,422","$36,431"
39,Honda Motor,"$137,332","$4,192"
40,General Motors,"$137,237","$6,732"
41,Walgreens Boots Alliance,"$136,866","$3,982"
42,Mitsubishi,"$135,940","$4,924"
43,Bank of China,"$135,091","$27,127"
44,Verizon Communications,"$131,868","$19,265"
45,China Life Insurance,"$131,244","$4,660"
46,Allianz,"$130,359","$8,858"
47,Microsoft,"$125,843","$39,240"
48,Marathon Petroleum,"$124,813","$2,637"
49,Huawei Investment & Holding,"$124,316","$9,062"
50,China Railway Engineering Group,"$123,324","$1,535"
51,Kroger,"$122,286","$1,659"
52,SAIC Motor,"$122,071","$3,706"
53,Fannie Mae,"$120,304","$14,160"
54,China Railway Construction,"$120,302","$1,359"
55,Gazprom,"$118,009","$18,593"
56,BMW Group,"$116,638","$5,501"
57,Lukoil,"$114,621","$9,895"
58,Bank of America,"$113,589","$27,430"
59,Home Depot,"$110,225","$11,242"
60,Japan Post Holdings,"$109,915","$4,449"
61,Phillips 66,"$109,559","$3,076"
62,Nippon Telegraph and Telephone,"$109,448","$7,867"
63,Comcast,"$108,942","$13,057"
64,China National Offshore Oil,"$108,687","$6,957"
65,China Mobile Communications,"$108,527","$12,145"
66,Assicurazioni Generali,"$105,921","$2,988"
67,Crédit Agricole,"$104,972","$5,422"
68,Anthem,"$104,213","$4,807"
69,Wells Fargo,"$103,915","$19,549"
70,Citigroup,"$103,449","$19,401"
71,Valero Energy,"$102,729","$2,422"
72,Itochu,"$100,522","$4,611"
73,HSBC Holdings,"$98,673","$7,383"
74,Siemens,"$97,937","$5,835"
75,Pacific Construction Group,"$97,536","$3,455"
76,Rosneft Oil,"$96,313","$10,944"
77,General Electric,"$95,214","-$4,979"
78,China Communications Construction,"$95,096","$1,333"
79,China Resources,"$94,758","$3,572"
80,Prudential,"$93,736",$783
81,Dell Technologies,"$92,154","$4,616"
82,Nestlé,"$92,107","$12,546"
83,Nissan Motor,"$90,863","-$6,174"
84,Hyundai Motor,"$90,740","$2,557"
85,Legal & General Group,"$90,615","$2,340"
86,Deutsche Telekom,"$90,135","$4,328"
87,Enel,"$89,907","$2,433"
88,Aviva,"$89,647","$3,251"
89,China FAW Group,"$89,417","$2,848"
90,China Post Group,"$89,347","$4,441"
91,Amer International Group,"$88,862","$1,807"
92,China Minmetals,"$88,357",$230
93,Banco Santander,"$88,257","$7,292"
94,SoftBank Group,"$87,440","-$8,844"
95,Bosch Group,"$86,990","$1,781"
96,Reliance Industries,"$86,270","$5,625"
97,SK Holdings,"$86,163",$616
98,Carrefour,"$85,905","$1,264"
99,BNP Paribas,"$85,058","$9,148"
100,Dongfeng Motor,"$84,049","$1,328"
101,Peugeot,"$83,643","$3,583"
102,JD.com,"$83,505","$1,764"
103,Tesco,"$82,700","$1,240"
104,Johnson & Johnson,"$82,059","$15,119"
105,China Southern Power Grid,"$81,978","$1,833"
106,Hitachi,"$80,639",$806
107,Hengli Group,"$80,588","$2,077"
108,China Energy Investment,"$80,498","$4,264"
109,Sinochem Group,"$80,376",$473
110,Electricité de France,"$80,278","$5,770"
