rank,company,revenue ($ millions),profit ($ millions)
1,Exxon Mobil,97172.5,4185.9
2,General Motors,60025.6,962.7
3,Mobil,59946.0,1380.0
4,Texaco,46986.0,1281.0
5,Ford Motor,37067.2,-657.8
6,Intl. Business Machines,34364.0,4409.0
7,ChevronTexaco,34362.0,1377.0
8,DuPont,33331.0,894.0
9,Gulf Oil,28427.0,900.0
10,Amoco,28073.0,1826.0
11,General Electric,26500.0,1817.0
12,Atlantic Richfield,26462.2,1676.1
13,Shell Oil,20062.0,1605.0
14,Marathon Oil,18375.0,-361.0
15,Occidental Petroleum,18212.2,155.6
16,ITT Industries,15958.4,702.8
17,ConocoPhillips,15698.0,646.0
18,Sunoco,15519.0,537.0
19,Tenneco Automotive,15241.0,819.0
20,United Technologies,13577.1,533.7
21,BP America,13120.0,1879.0
22,AT&T Technologies,12579.9,336.7
23,Procter & Gamble,11994.0,777.0
24,Getty Oil,11970.7,691.6
25,Nabisco Group Holdings,10906.0,870.0
26,Eastman Kodak,10815.0,1162.0
27,Dow Chemical,10618.0,399.0
28,Unocal,10390.4,804.0
29,Chrysler,10044.9,170.1
30,Kraft,9974.4,350.3
31,CBS,9745.4,449.3
32,Altria Group,9101.6,781.8
33,Union Carbide,9061.5,309.7
34,Boeing,9035.0,292.0
35,Beatrice,9023.5,390.1
36,Ashland,8888.1,180.9
37,Goodyear Tire & Rubber,8688.7,264.8
38,Xerox,8455.6,423.7
39,General Foods,8351.1,200.2
40,Amerada Hess,8342.6,168.7
41,PepsiCo,7499.0,224.3
42,Rockwell Automation,7395.4,331.6
43,McDonnell Douglas,7331.3,214.7
44,3M,6601.0,631.0
45,Caterpillar,6469.0,-180.0
46,General Dynamics,6352.6,132.8
47,Monsanto,6325.0,352.0
48,Coca-Cola,6249.7,512.2
49,Honeywell Intl.,6167.0,272.0
50,Sealed Air,6127.6,319.5
51,Sara Lee,6039.3,156.7
52,Nabisco Brands,5871.1,314.7
53,Union Pacific,5818.3,326.8
54,Coastal,5799.4,65.6
55,Johnson & Johnson,5760.9,473.4
56,Lockheed Martin,5613.0,207.3
57,Sperry,5571.4,221.8
58,Raytheon,5513.4,318.8
59,Honeywell,5490.4,272.9
60,Gulf & Western Industries,5486.3,168.6
61,ARMCO,5427.9,-345.1
62,Georgia-Pacific,5402.0,153.0
63,General Mills,5312.1,225.5
64,Bethlehem Steel,5260.3,-1469.6
65,LTV,5194.6,-154.9
66,TRW,5131.9,196.3
67,Continental Group,4979.0,180.2
68,Litton Industries,4941.8,315.0
69,Signal Companies,4935.6,113.2
70,Colgate-Palmolive,4888.0,196.9
71,Ralston Purina,4878.4,69.1
72,McDermott,4843.2,213.4
73,Navistar International,4725.1,-1638.2
74,Alcoa,4647.6,10.8
75,Deere,4608.2,52.9
76,Wyeth,4582.1,560.1
77,Anheuser-Busch,4576.6,287.3
78,Greyhound,4525.6,103.1
79,Texas Instruments,4326.6,144.0
80,Control Data,4292.0,155.1
81,Hewlett-Packard,4254.0,383.0
82,Weyerhaeuser,4186.2,168.9
83,Dresser Industries,4160.6,172.3
84,Borden Chemical,4111.3,165.9
85,Unisys,4095.3,117.6
86,Bendix,4092.1,132.8
87,Bestfoods,4091.5,231.6
88,Charter,4063.6,35.3
89,American Can,4063.4,-132.9
90,Fortune Brands,4025.8,381.2
91,International Paper,4015.2,171.8
92,Warner Communications,3990.0,257.8
93,Chiquita Brands Intl.,3972.5,2.8
94,Whitman,3925.5,47.6
95,Digital Equipment,3880.8,417.2
96,Firestone Tire & Rubber,3869.0,6.0
97,Agway,3833.0,N.A.
98,Motorola,3785.8,178.0
99,Kerr-McGee,3777.2,209.8
100,Land O'Lakes,3770.1,N.A.
101,Champion International,3737.4,39.6
102,Archer Daniels Midland,3713.0,155.0
103,H.J. Heinz,3688.5,192.8
104,Bristol-Myers Squibb,3599.9,348.7
105,Combustion Engineering,3569.8,183.4
106,Time Warner,3564.3,153.1
107,Owens-Illinois,3552.9,90.7
108,Martin Marietta,3526.5,91.6
109,NCR,3526.2,234.4
110,Emerson Electric,3502.3,300.1
111,FMC,3498.8,152.4
112,Tosco,3466.0,132.4
113,American Cyanamid,3453.7,132.1
114,Pfizer,3453.6,332.8
115,Pillsbury,3385.1,136.3
116,Carnation,3382.2,183.4
117,Esmark,3303.2,107.6
118,PPG Industries,3295.5,155.1
119,Warner-Lambert,3246.0,175.0
120,BorgWarner,3195.3,167.4
121,Maxus Energy,3177.4,185.1
122,North American Philips,3168.1,73.6
123,Penn Central,3165.4,131.5
124,Norton Simon,3068.8,107.7
125,Merck,3063.0,415.1
126,Celanese,3062.0,-34.0
127,National Intergroup,3044.2,-462.8
128,Goodrich,3005.3,-32.8
129,Avon Products,3000.8,196.6
130,Reynolds Metals,2980.9,7.7
131,US Pharmaceuticals,2968.7,455.2
132,Eli Lilly,2962.7,411.8
133,Crown Zellerbach,2947.4,-112.2
134,Kimberly-Clark,2946.1,197.4
135,Campbell Soup,2944.8,149.6
136,Textron,2936.0,84.4
137,OfficeMax,2912.4,7.2
138,Kaisertech,2911.5,-115.0
139,American Motors,2878.4,-153.5
140,Burlington Industries Equity,2876.2,52.5
141,Teledyne,2863.8,260.8
142,Sunbeam/Oster,2856.7,47.3
