rank,company,revenue ($ millions),profit ($ millions)
1,General Motors,30435.2,2162.8
2,Exxon Mobil,20309.8,1531.8
3,Ford Motor,20194.4,870.0
4,General Electric,10239.5,530.0
5,Chrysler,9759.1,220.5
6,Intl. Business Machines,9532.6,1279.3
7,Mobil,9166.3,574.2
8,Texaco,8693.0,889.0
9,ITT Industries,8556.8,483.3
10,AT&T Technologies,6551.2,282.9
11,Gulf Oil,6243.0,197.0
12,ChevronTexaco,5829.5,547.1
13,U.S. Steel,5401.8,157.0
14,CBS,5086.6,198.7
15,Amoco,4503.4,374.7
16,DuPont,4365.9,414.5
17,Shell Oil,4075.9,260.5
18,Goodyear Tire & Rubber,4071.5,193.2
19,RCA,3838.2,158.1
20,Procter & Gamble,3514.4,276.3
21,LTV,3514.2,8.8
22,Navistar International,3493.3,86.6
23,Eastman Kodak,3477.8,546.2
24,Conoco,3415.0,170.2
25,Atlantic Richfield,3320.8,195.6
26,Tenneco Automotive,3275.4,203.0
27,Union Carbide,3261.3,205.2
28,Esmark,3240.9,37.0
29,Kraft,3196.8,88.3
30,Bethlehem Steel,3113.6,134.6
31,Greyhound,2903.6,66.8
32,McDonnell Douglas,2725.7,111.7
33,Firestone Tire & Rubber,2691.0,135.8
34,Caterpillar,2602.2,206.4
35,Litton Industries,2558.5,1.1
36,ConocoPhillips,2512.7,148.4
37,Occidental Petroleum,2487.2,10.4
38,Lockheed Martin,2472.7,16.2
39,General Foods,2423.8,66.2
40,Xerox,2419.1,249.5
41,Dow Chemical,2403.7,189.2
42,Beatrice,2384.4,77.9
43,Boeing,2369.6,30.4
44,Rockwell Automation,2362.9,86.1
45,Sealed Air,2315.1,63.5
46,Monsanto,2225.4,122.0
47,Singer,2217.5,87.5
48,Borden Chemical,2192.9,66.0
49,Continental Group,2192.7,-39.3
50,Honeywell,2125.4,82.3
51,3M,2114.1,244.4
52,Unocal,2098.2,121.9
53,International Paper,2093.3,102.7
54,Nabisco Group Holdings,2072.3,237.5
55,Rapid-American,2044.8,25.6
56,United Technologies,2023.8,50.6
57,American Can,2015.5,-50.7
58,Georgia-Pacific,1929.1,128.5
59,Sunoco,1918.0,154.7
60,ARMCO,1910.8,75.6
61,Coca-Cola,1876.2,190.2
62,Champion International,1871.7,59.5
63,Citgo Petroleum,1862.1,112.1
64,Ralston Purina,1833.4,58.2
65,Sperry,1823.9,60.8
66,Burlington Industries Equity,1816.1,49.6
67,Colgate-Palmolive,1807.6,67.5
68,Sara Lee,1799.8,63.8
69,Uniroyal,1798.9,46.7
70,Ashland,1780.0,68.3
71,Bendix,1776.5,56.4
72,Alcoa,1753.0,102.8
73,Fortune Brands,1734.3,123.3
74,OfficeMax,1710.3,-170.6
75,TRW,1687.5,76.1
76,Textron,1678.4,82.1
77,Weyerhaeuser,1675.9,158.1
78,Gulf & Western Industries,1669.7,69.4
79,Chiquita Brands Intl.,1668.3,17.7
80,National Intergroup,1660.2,71.2
81,Owens-Illinois,1636.3,69.0
82,Bestfoods,1607.4,86.6
83,Republic Steel,1595.7,43.1
84,Wyeth,1587.1,175.4
85,U.S. Industries,1578.5,80.7
86,NCR,1557.7,-59.6
87,General Dynamics,1539.4,24.3
88,Goodrich,1506.8,49.0
89,Honeywell Intl.,1501.0,66.0
90,Deere,1500.2,112.2
91,FMC,1497.7,49.1
92,Warner-Lambert,1487.5,122.7
93,Ryerson Tull,1469.8,65.9
94,Raytheon,1465.0,37.9
95,BP America,1446.6,57.5
96,Signal Companies,1438.2,40.5
97,Whirlpool,1416.3,68.2
98,Altria Group,1408.3,124.5
99,Genesco,1405.8,8.9
100,Getty Oil,1405.3,81.2
101,American Motors,1403.8,30.2
102,CBS,1403.2,82.9
103,PepsiCo,1400.1,71.7
104,PPG Industries,1395.9,82.7
105,Celanese,1384.8,43.9
106,American Cyanamid,1358.9,108.8
107,Amerada Hess,1333.5,26.0
108,American Standard,1320.6,25.2
109,Johnson & Johnson,1317.7,120.7
110,General Mills,1316.3,45.4
111,Iowa Beef Processors,1284.7,7.4
112,BorgWarner,1283.2,59.5
113,Marathon Oil,1277.6,79.8
114,Olin,1250.9,-52.1
115,Carnation,1249.3,55.9
116,Eaton,1223.1,70.4
117,Teledyne,1216.0,57.4
118,Nabisco Brands,1214.9,54.4
119,Bristol-Myers Squibb,1201.2,83.9
120,Combustion Engineering,1179.9,23.3
121,Standard Brands,1169.0,44.0
122,Motorola,1163.3,52.0
123,Reynolds Metals,1162.2,0.2
124,H.J. Heinz,1153.8,42.3
125,Kennecott,1145.3,47.4
126,Mead,1128.8,17.6
127,Crown Zellerbach,1112.9,35.0
128,Norton Simon,1108.8,50.5
129,GenCorp,1093.5,73.9
130,Pfizer,1093.4,103.2
131,Campbell Soup,1086.2,59.6
132,Ogden,1073.1,19.3
133,Associated Milk Producers,1070.5,N.A.
134,Martin Marietta,1046.8,53.5
135,Unisys,1040.2,87.5
136,NL Industries,1013.7,36.8
137,St. Regis,1013.1,41.3
138,Anaconda,1011.6,133.0
139,Kimberly-Clark,1010.5,55.6
140,Avon Products,1005.3,124.9
141,Lykes,998.5,25.6
142,Kaisertech,990.8,15.1
143,Furniture Brands Intl.,981.1,37.7
144,Anheuser-Busch,977.5,72.3
145,Whitman,960.7,52.6
146,Allis-Chalmers,960.3,8.7
147,Merck,958.3,147.6
148,J.P. Stevens,957.7,5.8
149,Babcock & Wilcox,955.9,24.4
150,Texas Instruments,943.7,48.0
151,White Motor,943.3,8.6
152,Evans Products,938.0,28.4
153,Hercules,932.0,70.4
154,Squibb,925.9,72.0
155,AMF,924.3,55.4
156,Safety-Kleen,917.8,0.2
157,Central Soya,911.2,16.2
158,Dresser Industries,906.9,38.9
159,Clark Equipment,897.6,40.3
160,Dart Industries,888.1,54.5
161,Walter Industries,881.7,44.6
162,Studebaker-Worthington,879.4,31.3
163,Ingersoll-Rand,872.0,60.1
164,Gillette,870.5,75.0
165,American Broadcasting,869.4,35.6
166,AMAX,863.1,66.2
167,Crane,844.4,14.5
168,Otis Elevator,839.1,28.3
169,Kidde,832.4,32.4
170,Dana,822.1,44.8
171,Del Monte Foods,820.6,23.3
172,Eli Lilly,819.7,126.3
173,Asarco,814.3,49.1
174,Scott Paper,813.8,38.6
175,Manville,796.3,49.3
176,Zenith Electronics,795.9,48.6
177,United Merchants & Mfrs.,787.0,15.3
178,Quantum Chemical,781.5,35.0
179,Quaker Oats,771.2,34.2
180,Pet,770.2,16.3
181,GAF,768.5,27.7
182,Phelps Dodge,765.8,82.2
183,Emerson Electric,764.7,63.6
184,Pullman,758.7,17.8
185,Land O'Lakes,748.4,N.A.
186,Carrier,739.4,32.3
187,McGraw-Edison,737.7,38.3
188,Farmland Industries,735.2,N.A.
189,White Consolidated Industries,728.1,30.2
190,Sterling Drug,720.8,69.0
191,Hormel Foods,719.8,7.8
192,Pillsbury,717.8,16.9
193,Corning,714.6,54.3
194,Oscar Mayer,712.3,16.0
195,Coltec Industries,707.3,16.3
196,Agway,701.0,N.A.
197,Kellogg,699.2,60.5
198,Essex International,696.4,37.1
199,Magnavox,686.0,17.6
200,Armstrong Holdings,684.5,41.8
201,Grumman,683.5,-70.0
202,Kerr-McGee,679.6,50.6
203,Archer Daniels Midland,675.9,11.3
204,Budd,670.8,17.6
205,Fruit of the Loom,665.1,51.0
206,Whittaker,665.0,7.0
207,Control Data,663.7,62.4
208,Heublein,662.9,19.4
209,Sherwin-Williams,658.3,18.2
210,USG,652.1,49.1
211,Amstar,650.6,16.6
212,Ikon Office Solutions,646.7,12.5
213,Brunswick,633.8,34.8
214,Ethyl,631.6,49.2
215,North American Philips,631.3,25.4
216,Cerro,622.2,17.7
217,J.E. Seagram,620.0,23.1
218,Rohm & Haas,618.6,46.4
219,Maxus Energy,617.3,33.3
220,Time Warner,616.6,22.4
221,Owens Corning,615.3,35.8
222,Koppers,612.8,23.1
223,Jos. Schlitz Brewing,611.3,37.5
224,Anderson Clayton,609.4,17.0
225,Wheeling Pittsburgh,607.8,15.2
226,Avco,607.0,43.2
227,General Host,607.0,3.4
228,Times Mirror,605.2,42.0
229,Diamond International,603.5,37.8
230,Union Camp,601.6,38.8
231,Liggett Group,598.2,31.3
232,Paccar,594.7,29.8
233,Aeroquip-Vickers,594.4,52.6
234,Eltra,583.4,25.6
235,Castle & Cooke,578.2,15.0
236,Williams,577.9,38.0
237,Northrop Grumman,573.7,11.1
238,Allegheny International,571.7,17.7
239,Akzona,571.5,23.2
240,Brown Shoe,567.1,22.8
241,Loews,566.3,69.6
242,Polaroid,559.3,42.5
243,Container Corp. of America,558.8,19.6
244,Lear Siegler,556.7,11.8
245,Fruehauf,550.4,26.8
246,Cluett Peabody,547.2,13.7
247,Stauffer Chemical,542.6,33.5
248,Chromalloy American,541.1,20.4
249,Scovill,537.3,17.5
250,Lever Brothers,527.1,12.7
251,Abbott Laboratories,521.8,39.4
252,Cummins,521.1,8.2
253,National Gypsum,519.0,30.6
254,Kayser-Roth,519.0,12.0
255,BOC,518.0,2.0
256,Indian Head,513.6,8.3
257,American Beef Packers,511.7,1.1
258,Pharmacia,511.3,46.5
259,Schering-Plough,504.2,77.3
260,Levi Strauss,504.1,25.0
261,Warner Communications,498.6,50.1
262,Universal Leaf Tobacco,498.4,8.9
263,A.O. Smith,492.8,9.9
264,Foster Wheeler,491.7,6.7
265,Imcera Group,491.2,20.3
266,Crown Holdings,488.9,31.2
267,Hewlett-Packard,479.1,38.5
268,National Can,475.7,14.1
269,Universal Oil Products,473.1,12.6
270,Westvaco,472.0,13.1
271,Gould,471.3,19.5
272,Timken,470.8,42.3
273,M. Lowenstein,470.0,6.0
274,Admiral,468.8,15.4
275,USM,464.4,-7.5
276,Lone Star Industries,463.4,24.1
277,Di Giorgio,459.8,9.0
278,Hoover,458.4,29.5
279,Intl. Multifoods,457.5,8.6
280,Gold Kist Holdings,454.5,N.A.
281,Kelsey-Hayes,453.7,7.4
282,Sunbeam/Oster,453.2,18.3
283,National Industries,452.5,3.3
284,Kaiser Steel,447.2,-8.8
285,Richardson-Vicks,446.5,36.7
286,Pennwalt Corp,441.0,16.1
287,Revlon,441.0,37.7
288,Flintkote,440.6,20.0
289,AM International,435.7,16.6
290,Metromedia International,434.0,18.1
291,Mohasco,431.2,14.7
292,McGraw-Hill,430.1,22.6
293,Bemis,427.6,9.8
294,Kane-Miller,424.5,3.5
295,Hartmarx,423.1,14.2
296,Hershey Foods,416.2,20.6
297,Ward Foods,414.5,-20.0
298,Cyclops Industries,414.0,7.7
299,Great Northern Nekoosa,409.8,18.2
300,Tecumseh Products,408.6,23.5
301,WestPoint Stevens,408.2,10.2
302,"Libby, McNeill & Libby",407.2,-0.5
303,US Pharmaceuticals,402.3,48.9
304,Stanley Works,399.0,19.9
305,Springs Industries,398.9,13.2
306,MBPXL,395.7,2.4
307,Hammermill Paper,394.7,3.5
308,Outboard Marine,394.1,30.5
309,MacMillan,393.9,14.9
310,Certainteed,392.6,26.5
311,National Service Industries,392.0,22.3
312,Revere Copper & Brass,390.9,-9.4
313,Interlake,387.7,13.0
314,Figgie International,381.6,8.8
315,I-T-E Imperial,377.6,17.6
316,Potlatch,377.4,16.6
317,Norton,374.4,14.5
318,U.S. Shoe,372.3,12.8
319,Campbell Taggart,371.1,11.9
320,Harris,370.9,13.8
321,Hygrade Food Products,369.9,5.0
322,GK Technologies,369.7,15.2
323,Spencer Foods,368.4,-0.5
324,Thiokol,367.8,24.4
325,Champion Spark Plug,367.4,39.8
326,Dan River,366.6,5.1
327,Bell & Howell,365.3,16.4
328,Purex Industries,363.7,15.2
329,Allied Mills,363.6,2.0
330,Rexnord,363.6,13.3
331,Dairylea Cooperative,358.5,N.A.
332,Avnet,357.6,16.0
333,Inmont,357.1,8.3
334,Apogent Technologies,356.3,23.3
335,CBI Industries,354.3,32.9
